Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
3.063063e-01,2.174114e-07,2.948352e-01,1.579294e-07,2.942317e-01,6.213515e+01,2.942317e-01,1.579294e-07,2.948352e-01,2.174114e-07,2.360549e-08,9.931134e-03,5.998018e-07,2.634686e-03,1.201314e-24,2.634686e-03,5.998018e-07,9.931134e-03,2.360549e-08,
3.068068e-01,2.174066e-07,2.939008e-01,1.577741e-07,2.939264e-01,6.213515e+01,2.939264e-01,1.577741e-07,2.939008e-01,2.174066e-07,2.368522e-08,9.932903e-03,6.017820e-07,2.640578e-03,1.201314e-24,2.640578e-03,6.017820e-07,9.932903e-03,2.368522e-08,
3.073073e-01,2.174018e-07,2.929679e-01,1.576188e-07,2.936211e-01,6.213515e+01,2.936211e-01,1.576188e-07,2.929679e-01,2.174018e-07,2.376510e-08,9.934569e-03,6.037656e-07,2.646465e-03,1.201314e-24,2.646465e-03,6.037656e-07,9.934569e-03,2.376510e-08,
3.078078e-01,2.173971e-07,2.920364e-01,1.574636e-07,2.933156e-01,6.213515e+01,2.933156e-01,1.574636e-07,2.920364e-01,2.173971e-07,2.384512e-08,9.936132e-03,6.057526e-07,2.652347e-03,1.201314e-24,2.652347e-03,6.057526e-07,9.936132e-03,2.384512e-08,
3.083083e-01,2.173923e-07,2.911064e-01,1.573084e-07,2.930100e-01,6.213515e+01,2.930100e-01,1.573084e-07,2.911064e-01,2.173923e-07,2.392529e-08,9.937593e-03,6.077429e-07,2.658224e-03,1.201314e-24,2.658224e-03,6.077429e-07,9.937593e-03,2.392529e-08,
3.088088e-01,2.173876e-07,2.901779e-01,1.571533e-07,2.927042e-01,6.213515e+01,2.927042e-01,1.571533e-07,2.901779e-01,2.173876e-07,2.400561e-08,9.938952e-03,6.097365e-07,2.664097e-03,1.201314e-24,2.664097e-03,6.097365e-07,9.938952e-03,2.400561e-08,
3.093093e-01,2.173828e-07,2.892508e-01,1.569983e-07,2.923984e-01,6.213515e+01,2.923984e-01,1.569983e-07,2.892508e-01,2.173828e-07,2.408608e-08,9.940210e-03,6.117335e-07,2.669965e-03,1.201314e-24,2.669965e-03,6.117335e-07,9.940210e-03,2.408608e-08,
3.098098e-01,2.173781e-07,2.883252e-01,1.568433e-07,2.920925e-01,6.213515e+01,2.920925e-01,1.568433e-07,2.883252e-01,2.173781e-07,2.416669e-08,9.941367e-03,6.137339e-07,2.675827e-03,1.201314e-24,2.675827e-03,6.137339e-07,9.941367e-03,2.416669e-08,
3.103103e-01,2.173733e-07,2.874012e-01,1.566884e-07,2.917864e-01,6.213515e+01,2.917864e-01,1.566884e-07,2.874012e-01,2.173733e-07,2.424746e-08,9.942424e-03,6.157377e-07,2.681685e-03,1.201314e-24,2.681685e-03,6.157377e-07,9.942424e-03,2.424746e-08,
3.108108e-01,2.173686e-07,2.864787e-01,1.565335e-07,2.914803e-01,6.213515e+01,2.914803e-01,1.565335e-07,2.864787e-01,2.173686e-07,2.432837e-08,9.943380e-03,6.177448e-07,2.687538e-03,1.201314e-24,2.687538e-03,6.177448e-07,9.943380e-03,2.432837e-08,
