0.1,0.99996,179.64
0.11498,0.99995,179.59
0.13219,0.99993,179.52
0.15199,0.99991,179.45
0.17475,0.99988,179.37
0.20092,0.99984,179.28
0.23101,0.99979,179.17
0.26561,0.99973,179.04
0.30539,0.99964,178.9
0.35112,0.99953,178.74
0.4037,0.99938,178.55
0.46416,0.99917,178.33
0.53367,0.99891,178.08
0.61359,0.99856,177.79
0.70548,0.9981,177.47
0.81113,0.99749,177.09
0.9326,0.99669,176.65
1.0723,0.99563,176.16
1.2328,0.99424,175.59
1.4175,0.99241,174.94
1.6298,0.99,174.2
1.8738,0.98686,173.35
2.1544,0.98275,172.39
2.4771,0.97742,171.3
2.848,0.97051,170.07
3.2745,0.96164,168.7
3.7649,0.95034,167.17
4.3288,0.93609,165.49
4.977,0.91836,163.67
5.7224,0.89664,161.73
6.5793,0.87056,159.71
7.5646,0.83994,157.65
8.6975,0.80491,155.63
10,0.76596,153.73
11.498,0.72399,152.03
13.219,0.68019,150.64
15.199,0.63595,149.64
17.475,0.59266,149.08
20.092,0.55159,149
23.101,0.51372,149.41
26.561,0.47973,150.29
30.539,0.44997,151.57
35.112,0.42447,153.17
40.37,0.40307,155.02
46.416,0.38542,157.02
53.367,0.3711,159.07
61.359,0.35963,161.11
70.548,0.35055,163.08
81.113,0.34343,164.94
93.26,0.33788,166.67
107.23,0.3336,168.24
123.28,0.3303,169.66
141.75,0.32777,170.93
162.98,0.32584,172.06
187.38,0.32437,173.06
215.44,0.32324,173.94
247.71,0.32239,174.72
284.8,0.32175,175.39
327.45,0.32126,175.99
376.49,0.32089,176.5
432.88,0.3206,176.96
497.7,0.32039,177.35
572.24,0.32023,177.69
657.93,0.32011,177.99
756.46,0.32001,178.25
869.75,0.31994,178.48
1000,0.31989,178.67
1149.8,0.31985,178.84
1321.9,0.31982,178.99
1519.9,0.3198,179.12
1747.5,0.31978,179.23
2009.2,0.31977,179.32
2310.1,0.31976,179.41
2656.1,0.31975,179.48
3053.9,0.31975,179.54
3511.2,0.31974,179.59
4037,0.31974,179.63
4641.6,0.31974,179.67
5336.7,0.31973,179.7
6135.9,0.31973,179.73
7054.8,0.31973,179.75
8111.3,0.31973,179.76
9326,0.31973,179.77
10723,0.31973,179.78
12328,0.31973,179.78
14175,0.31973,179.77
16298,0.31973,179.76
18738,0.31973,179.75
21544,0.31973,179.74
24771,0.31973,179.71
28480,0.31973,179.68
32745,0.31973,179.65
37649,0.31973,179.61
43288,0.31974,179.56
49770,0.31974,179.5
57224,0.31974,179.44
65793,0.31975,179.36
75646,0.31975,179.27
86975,0.31976,179.16
1e+05,0.31977,179.04
