Frequency [Hz],Input whitening transfer function,Output whitening transfer function,
5.379362e-01,1.0000152725731013+0.0170346310698236j,1.0003214959506295+1.7929411316286696j,
5.441714e-01,1.0000156286769588+0.0172320810672762j,1.0003289921351097+1.8137233121363614j,
5.504790e-01,1.0000159930839168+0.0174318197184465j,1.0003366631081008+1.8347463811827402j,
5.568596e-01,1.0000163659875945+0.0176338735509769j,1.0003445129368629+1.8560131309322101j,
5.633143e-01,1.0000167475860877+0.0178382693999807j,1.0003525458014337+1.8775263859134050j,
5.698437e-01,1.0000171380821392+0.0180450344116052j,1.0003607659618865+1.8992890033943264j,
5.764488e-01,1.0000175376832061+0.0182541960466370j,1.0003691777892527+1.9213038737618262j,
5.831305e-01,1.0000179466015808+0.0184657820841481j,1.0003777857509704+1.9435739209054901j,
5.898896e-01,1.0000183650545189+0.0186798206251845j,1.0003865944236168+1.9661021026059666j,
5.967271e-01,1.0000187932643243+0.0188963400964980j,1.0003956084819947+1.9888914109278022j,
6.036439e-01,1.0000192314585021+0.0191153692543208j,1.0004048327173223+2.0119448726168265j,
6.106408e-01,1.0000196798698475+0.0193369371881839j,1.0004142720299569+2.0352655495021441j,
6.177188e-01,1.0000201387365912+0.0195610733247796j,1.0004239314348524+2.0588565389027864j,
6.248788e-01,1.0000206083025098+0.0197878074318693j,1.0004338160670159+2.0827209740390753j,
6.321218e-01,1.0000210888170784+0.0200171696222361j,1.0004439311724127+2.1068620244487599j,
6.394488e-01,1.0000215805355701+0.0202491903576828j,1.0004542821261566+2.1312828964079684j,
6.468608e-01,1.0000220837192373+0.0204839004530775j,1.0004648744325095+2.1559868333570469j,
6.543586e-01,1.0000225986353897+0.0207213310804445j,1.0004757137121487+2.1809771163313290j,
6.619433e-01,1.0000231255576004+0.0209615137731040j,1.0004868057276326+2.2062570643969011j,
6.696160e-01,1.0000236647658056+0.0212044804298586j,1.0004981563724868+2.2318300350914186j,
6.773776e-01,1.0000242165464712+0.0214502633192293j,1.0005097716712044+2.2576994248700286j,
6.852292e-01,1.0000247811927352+0.0216988950837397j,1.0005216578028922+2.2838686695564654j,
6.931717e-01,1.0000253590045851+0.0219504087442504j,1.0005338210794434+2.3103412447993703j,
7.012064e-01,1.0000259502889932+0.0222048377043433j,1.0005462679564516+2.3371206665339059j,
7.093341e-01,1.0000265553600975+0.0224622157547570j,1.0005590050568571+2.3642104914487119j,
7.175561e-01,1.0000271745393441+0.0227225770778732j,1.0005720391418436+2.3916143174582878j,
7.258734e-01,1.0000278081556928+0.0229859562522554j,1.0005853771363036+2.4193357841808325j,
7.342870e-01,1.0000284565457598+0.0232523882572399j,1.0005990261270199+2.4473785734216404j,
7.427982e-01,1.0000291200540232+0.0235219084775804j,1.0006129933663033+2.4757464096620874j,
7.514081e-01,1.0000297990329763+0.0237945527081455j,1.0006272862719925+2.5044430605542889j,
7.601178e-01,1.0000304938433473+0.0240703571586719j,1.0006419124420063+2.5334723374214949j,
7.689284e-01,1.0000312048542668+0.0243493584585717j,1.0006568796416104+2.5628380957642807j,
7.778411e-01,1.0000319324434734+0.0246315936617952j,1.0006721958252456+2.5925442357726047j,
7.868572e-01,1.0000326769975096+0.0249171002517514j,1.0006878691328893+2.6225947028438035j,
7.959777e-01,1.0000334389119452+0.0252059161462837j,1.0007039078845992+2.6529934881065911j,
8.052040e-01,1.0000342185915514+0.0254980797027046j,1.0007203206077975+2.6837446289511280j,
8.145372e-01,1.0000350164505463+0.0257936297228877j,1.0007371160190814+2.7148522095652385j,
8.239786e-01,1.0000358329128254+0.0260926054584200j,1.0007543030405941+2.7463203614768417j,
8.335294e-01,1.0000366684121254+0.0263950466158119j,1.0007718908036622+2.7781532641026692j,
8.431909e-01,1.0000375233923435+0.0267009933617697j,1.0007898886560724+2.8103551453033400j,
8.529644e-01,1.0000383983076908+0.0270104863285276j,1.0008083061547950+2.8429302819448781j,
8.628513e-01,1.0000392936229900+0.0273235666192419j,1.0008271530878119+2.8758830004667253j,
8.728527e-01,1.0000402098138856+0.0276402758134480j,1.0008464394650218+2.9092176774563505j,
8.829700e-01,1.0000411473671349+0.0279606559725803j,1.0008661755364301+2.9429387402305105j,
8.932046e-01,1.0000421067808141+0.0282847496455559j,1.0008863717848726+2.9770506674232515j,
9.035578e-01,1.0000430885646416+0.0286125998744230j,1.0009070389387489+3.0115579895807247j,
9.140311e-01,1.0000440932402022+0.0289442502000752j,1.0009281879811169+3.0464652897628990j,
9.246257e-01,1.0000451213412518+0.0292797446680311j,1.0009498301460553+3.0817772041522411j,
9.353432e-01,1.0000461734139847+0.0296191278342816j,1.0009719769350340+3.1174984226694611j,
9.461848e-01,1.0000472500173281+0.0299624447712045j,1.0009946401078196+3.1536336895963859j,
9.571522e-01,1.0000483517232546+0.0303097410735475j,1.0010178317115788+3.1901878042060496j,
9.682466e-01,1.0000494791170595+0.0306610628644808j,1.0010415640608699+3.2271656214001059j,
9.794697e-01,1.0000506327976915+0.0310164568017196j,1.0010658497685654+3.2645720523536017j,
9.908228e-01,1.0000518133780716+0.0313759700837173j,1.0010907017349382+3.3024120651672457j,
1.002308e+00,1.0000530214853889+0.0317396504559307j,1.0011161331640324+3.3406906855272256j,
1.013925e+00,1.0000542577614766+0.0321075462171576j,1.0011421575673012+3.3794129973726723j,
1.025678e+00,1.0000555228631214+0.0324797062259478j,1.0011687887708831+3.4185841435708753j,
1.037567e+00,1.0000568174624362+0.0328561799070879j,1.0011960409228777+3.4582093266003020j,
1.049593e+00,1.0000581422471981+0.0332370172581621j,1.0012239284988027+3.4982938092415496j,
1.061759e+00,1.0000594979212138+0.0336222688561879j,1.0012524663216027+3.5388429152762995j,
1.074066e+00,1.0000608852047073+0.0340119858643294j,1.0012816695452784+3.5798620301943735j,
1.086516e+00,1.0000623048346959+0.0344062200386875j,1.0013115536912665+3.6213566019089858j,
1.099110e+00,1.0000637575653784+0.0348050237351697j,1.0013421346320683+3.6633321414802831j,
1.111850e+00,1.0000652441685460+0.0352084499164386j,1.0013734286148974+3.7057942238472759j,
1.124737e+00,1.0000667654339637+0.0356165521589408j,1.0014054522671358+3.7487484885682463j,
1.137774e+00,1.0000683221698381+0.0360293846600180j,1.0014382225981535+3.7922006405697410j,
1.150962e+00,1.0000699152031984+0.0364470022450991j,1.0014717570247740+3.8361564509042454j,
1.164303e+00,1.0000715453803721+0.0368694603749769j,1.0015060733567225+3.8806217575166402j,
1.177799e+00,1.0000732135674113+0.0372968151531678j,1.0015411898293678+3.9256024660195386j,
1.191451e+00,1.0000749206505581+0.0377291233333572j,1.0015771250964463+3.9711045504776141j,
1.205261e+00,1.0000766675367281+0.0381664423269315j,1.0016138982518896+4.0171340542010130j,
1.219231e+00,1.0000784551539752+0.0386088302105959j,1.0016515288298251+4.0636970905479650j,
1.233363e+00,1.0000802844519860+0.0390563457340820j,1.0016900368264032+4.1107998437367046j,
1.247660e+00,1.0000821564026019+0.0395090483279434j,1.0017294426943408+4.1584485696667901j,
1.262121e+00,1.0000840720003232+0.0399669981114414j,1.0017697673720249+4.2066495967499433j,
1.276751e+00,1.0000860322628249+0.0404302559005232j,1.0018110322871507+4.2554093267505300j,
1.291550e+00,1.0000880382315245+0.0408988832158906j,1.0018532593530836+4.3047342356357747j,
1.306520e+00,1.0000900909721153+0.0413729422911637j,1.0018964710106957+4.3546308744358253j,
1.321664e+00,1.0000921915751313+0.0418524960811376j,1.0019406902192713+4.4051058701137835j,
1.336984e+00,1.0000943411565402+0.0423376082701358j,1.0019859404656017+4.4561659264458422j,
1.352481e+00,1.0000965408583298+0.0428283432804592j,1.0020322457930888+4.5078178249115934j,
1.368158e+00,1.0000987918491120+0.0433247662809334j,1.0020796307999262+4.5600684255946691j,
1.384016e+00,1.0001010953247444+0.0438269431955546j,1.0021281206645654+4.6129246680938296j,
1.400058e+00,1.0001034525089665+0.0443349407122358j,1.0021777411457151+4.6663935724445880j,
1.416287e+00,1.0001058646540564+0.0448488262916535j,1.0022285186078079+4.7204822400515374j,
1.432703e+00,1.0001083330414815+0.0453686681761972j,1.0022804800246377+4.7751978546314779j,
1.449310e+00,1.0001108589825876+0.0458945353990221j,1.0023336530011875+4.8305476831674667j,
1.466109e+00,1.0001134438193091+0.0464264977932068j,1.0023880657918198+4.8865390768739339j,
1.483103e+00,1.0001160889248446+0.0469646260010161j,1.0024437473002763+4.9431794721729814j,
1.500293e+00,1.0001187957044309+0.0475089914832718j,1.0025007271124196+5.0004763916819925j,
1.517683e+00,1.0001215655960536+0.0480596665288312j,1.0025590354962333+5.0584374452127010j,
1.535275e+00,1.0001244000712433+0.0486167242641751j,1.0026187034345639+5.1170703307818188j,
1.553071e+00,1.0001273006358140+0.0491802386631070j,1.0026797626196640+5.1763828356333983j,
1.571072e+00,1.0001302688307092+0.0497502845565641j,1.0027422455004853+5.2363828372730232j,
1.589283e+00,1.0001333062327937+0.0503269376425415j,1.0028061852626706+5.2970783045140006j,
1.607704e+00,1.0001364144556923+0.0509102744961318j,1.0028716158831230+5.3584772985356706j,
1.626340e+00,1.0001395951506673+0.0515003725796793j,1.0029385721190920+5.4205879739539844j,
1.645191e+00,1.0001428500074567+0.0520973102530531j,1.0030070895445533+5.4834185799044848j,
1.664260e+00,1.0001461807552232+0.0527011667840378j,1.0030772045629419+5.5469774611378462j,
1.683551e+00,1.0001495891634171+0.0533120223588444j,1.0031489544217038+5.6112730591281057j,
1.703065e+00,1.0001530770427642+0.0539299580927429j,1.0032223772395810+5.6763139131937335j,
1.722805e+00,1.0001566462461930+0.0545550560408171j,1.0032975120266201+5.7421086616317085j,
1.742775e+00,1.0001602986698508+0.0551873992088445j,1.0033743986987247+5.8086660428647257j,
1.762975e+00,1.0001640362540662+0.0558270715643006j,1.0034530781031208+5.8759948966017017j,
1.783410e+00,1.0001678609844440+0.0564741580474914j,1.0035335920401849+5.9441041650117361j,
1.804082e+00,1.0001717748928556+0.0571287445828138j,1.0036159832852718+6.0130028939116693j,
1.824993e+00,1.0001757800585445+0.0577909180901458j,1.0037002956123615+6.0827002339674037j,
1.846147e+00,1.0001798786092451+0.0584607664963687j,1.0037865738122491+6.1532054419091580j,
1.867546e+00,1.0001840727222948+0.0591383787470219j,1.0038748637234676+6.2245278817607872j,
1.889193e+00,1.0001883646257923+0.0598238448180922j,1.0039652122504776+6.2966770260833718j,
1.911091e+00,1.0001927565997875+0.0605172557279392j,1.0040576673964097+6.3696624572331944j,
1.933242e+00,1.0001972509774824+0.0612187035493582j,1.0041522782757966+6.4434938686343157j,
1.955651e+00,1.0002018501464924+0.0619282814217826j,1.0042490951564105+6.5181810660658819j,
1.978319e+00,1.0002065565500757+0.0626460835636262j,1.0043481694738148+6.5937339689643606j,
2.001250e+00,1.0002113726884794+0.0633722052847690j,1.0044495538622868+6.6701626117408761j,
2.024447e+00,1.0002163011202185+0.0641067429991856j,1.0045533021857409+6.7474771451137805j,
2.047912e+00,1.0002213444634727+0.0648497942377206j,1.0046594695631939+6.8256878374567016j,
2.071650e+00,1.0002265053974710+0.0656014576610102j,1.0047681123978691+6.9048050761621935j,
2.095662e+00,1.0002317866638855+0.0663618330725534j,1.0048792884117574+6.9848393690211976j,
2.119953e+00,1.0002371910683223+0.0671310214319333j,1.0049930566656258+7.0658013456184783j,
2.144526e+00,1.0002427214817935+0.0679091248681913j,1.0051094776026730+7.1477017587442520j,
2.169384e+00,1.0002483808422546+0.0686962466933551j,1.0052286130758148+7.2305514858221427j,
2.194529e+00,1.0002541721561435+0.0694924914161223j,1.0053505263767875+7.3143615303537253j,
2.219966e+00,1.0002600985000036+0.0702979647557025j,1.0054752822725277+7.3991430233797617j,
2.245698e+00,1.0002661630220935+0.0711127736558175j,1.0056029470506473+7.4849072249584134j,
2.271728e+00,1.0002723689440813+0.0719370262988639j,1.0057335885303473+7.5716655256605536j,
2.298060e+00,1.0002787195627398+0.0727708321202382j,1.0058672761188063+7.6594294480824203j,
2.324697e+00,1.0002852182517010+0.0736143018228269j,1.0060040808384656+7.7482106483758066j,
2.351643e+00,1.0002918684632505+0.0744675473916630j,1.0061440753743227+7.8380209177959514j,
2.378901e+00,1.0002986737301569+0.0753306821087523j,1.0062873340975784+7.9288721842674077j,
2.406475e+00,1.0003056376675552+0.0762038205680686j,1.0064339331220253+8.0207765139680163j,
2.434369e+00,1.0003127639748612+0.0770870786907232j,1.0065839503295138+8.1137461129312705j,
2.462586e+00,1.0003200564377366+0.0779805737403073j,1.0067374654190644+8.2077933286672220j,
2.491130e+00,1.0003275189300993+0.0788844243384118j,1.0068945599505241+8.3029306518021677j,
2.520005e+00,1.0003351554161775+0.0797987504803255j,1.0070553173845838+8.3991707177373716j,
2.549215e+00,1.0003429699526301+0.0807236735509129j,1.0072198231264338+8.4965263083269544j,
2.578763e+00,1.0003509666906787+0.0816593163406759j,1.0073881645730580+8.5950103535752689j,
2.608654e+00,1.0003591498783209+0.0826058030619984j,1.0075604311605275+8.6946359333539203j,
2.638891e+00,1.0003675238626109+0.0835632593655793j,1.0077367144094751+8.7954162791386850j,
2.669478e+00,1.0003760930919157+0.0845318123570525j,1.0079171079760272+8.8973647757665670j,
2.700421e+00,1.0003848621183238+0.0855115906137991j,1.0081017076936405+9.0004949632131908j,
2.731722e+00,1.0003938356000468+0.0865027242019521j,1.0082906116385857+9.1048205383908147j,
2.763385e+00,1.0004030183038815+0.0875053446935961j,1.0084839201699651+9.2103553569671490j,
2.795416e+00,1.0004124151077605+0.0885195851841646j,1.0086817359879205+9.3171134352052718j,
2.827818e+00,1.0004220310033247+0.0895455803100372j,1.0088841641863837+9.4251089518248570j,
2.860596e+00,1.0004318710986020+0.0905834662663378j,1.0090913123058272+9.5343562498849490j,
2.893753e+00,1.0004419406206786+0.0916333808249379j,1.0093032904042047+9.6448698386885869j,
2.927295e+00,1.0004522449185060+0.0926954633526657j,1.0095202110969694+9.7566643957094481j,
