Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
5.685435e+07,2.371511e-07,1.320214e-03,2.328772e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.328772e-07,1.320214e-03,2.371511e-07,1.012264e-09,3.807784e-06,7.401458e-09,2.428416e-04,1.200253e-24,2.428416e-04,7.401458e-09,3.807784e-06,1.012264e-09,
5.685495e+07,2.308842e-07,1.229098e-03,2.335808e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.335808e-07,1.229098e-03,2.308842e-07,1.061660e-09,3.590444e-06,7.066493e-09,2.428416e-04,1.200253e-24,2.428416e-04,7.066493e-09,3.590444e-06,1.061660e-09,
5.685556e+07,2.336108e-07,6.999506e-04,2.345078e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.345078e-07,6.999506e-04,2.336108e-07,1.036597e-09,2.335761e-06,6.668814e-09,2.428416e-04,1.200253e-24,2.428416e-04,6.668814e-09,2.335761e-06,1.036597e-09,
5.685616e+07,2.345613e-07,1.434627e-03,2.365531e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.365531e-07,1.434627e-03,2.345613e-07,1.029276e-09,4.081478e-06,5.934314e-09,2.428416e-04,1.200253e-24,2.428416e-04,5.934314e-09,4.081478e-06,1.029276e-09,
5.685676e+07,2.352640e-07,1.301706e-03,2.275521e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.275521e-07,1.301706e-03,2.352640e-07,1.024256e-09,3.764308e-06,1.134423e-08,2.428416e-04,1.200253e-24,2.428416e-04,1.134423e-08,3.764308e-06,1.024256e-09,
5.685736e+07,2.358903e-07,1.239939e-03,2.335374e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.335374e-07,1.239939e-03,2.358903e-07,1.020039e-09,3.616999e-06,7.081932e-09,2.428416e-04,1.200253e-24,2.428416e-04,7.081932e-09,3.616999e-06,1.020039e-09,
5.685796e+07,2.364871e-07,1.194024e-03,2.347457e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.347457e-07,1.194024e-03,2.364871e-07,1.016231e-09,3.507551e-06,6.570626e-09,2.428416e-04,1.200253e-24,2.428416e-04,6.570626e-09,3.507551e-06,1.016231e-09,
5.685856e+07,2.370727e-07,1.154849e-03,2.355626e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.355626e-07,1.154849e-03,2.370727e-07,1.012683e-09,3.414206e-06,6.264796e-09,2.428416e-04,1.200253e-24,2.428416e-04,6.264796e-09,3.414206e-06,1.012683e-09,
5.685916e+07,2.376556e-07,1.119552e-03,2.362688e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.362688e-07,1.119552e-03,2.376556e-07,1.009325e-09,3.330135e-06,6.022822e-09,2.428416e-04,1.200253e-24,2.428416e-04,6.022822e-09,3.330135e-06,1.009325e-09,
5.685976e+07,2.382405e-07,1.086915e-03,2.369324e-07,3.983170e-01,6.213515e+01,3.983170e-01,2.369324e-07,1.086915e-03,2.382405e-07,1.006119e-09,3.252439e-06,5.812393e-09,2.428416e-04,1.200253e-24,2.428416e-04,5.812393e-09,3.252439e-06,1.006119e-09,
