Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
1.361361e+00,2.195228e-07,5.918911e-01,2.193024e-07,4.055119e-01,6.213515e+01,4.055119e-01,2.193024e-07,5.918911e-01,2.195228e-07,6.736483e-10,2.073812e-03,2.059064e-09,4.234533e-05,1.201314e-24,4.234533e-05,2.059064e-09,2.073812e-03,6.736483e-10,
1.380380e+00,2.195217e-07,5.903938e-01,2.192775e-07,4.055304e-01,6.213515e+01,4.055304e-01,2.192775e-07,5.903938e-01,2.195217e-07,6.824585e-10,2.151834e-03,2.257044e-09,4.214257e-05,1.201314e-24,4.214257e-05,2.257044e-09,2.151834e-03,6.824585e-10,
1.399399e+00,2.195204e-07,5.887329e-01,2.192487e-07,4.055487e-01,6.213515e+01,4.055487e-01,2.192487e-07,5.887329e-01,2.195204e-07,6.924681e-10,2.236249e-03,2.486391e-09,4.194297e-05,1.201314e-24,4.194297e-05,2.486391e-09,2.236249e-03,6.924681e-10,
1.418418e+00,2.195190e-07,5.868915e-01,2.192151e-07,4.055669e-01,6.213515e+01,4.055669e-01,2.192151e-07,5.868915e-01,2.195190e-07,7.037425e-10,2.327679e-03,2.754006e-09,4.174648e-05,1.201314e-24,4.174648e-05,2.754006e-09,2.327679e-03,7.037425e-10,
1.437437e+00,2.195174e-07,5.848505e-01,2.191756e-07,4.055850e-01,6.213515e+01,4.055850e-01,2.191756e-07,5.848505e-01,2.195174e-07,7.163568e-10,2.426825e-03,3.068775e-09,4.155306e-05,1.201314e-24,4.155306e-05,3.068775e-09,2.426825e-03,7.163568e-10,
1.456456e+00,2.195157e-07,5.825882e-01,2.191287e-07,4.056031e-01,6.213515e+01,4.056031e-01,2.191287e-07,5.825882e-01,2.195157e-07,7.303972e-10,2.534475e-03,3.442286e-09,4.136267e-05,1.201314e-24,4.136267e-05,3.442286e-09,2.534475e-03,7.303972e-10,
1.475475e+00,2.195137e-07,5.800800e-01,2.190725e-07,4.056210e-01,6.213515e+01,4.056210e-01,2.190725e-07,5.800800e-01,2.195137e-07,7.459623e-10,2.651518e-03,3.889854e-09,4.117525e-05,1.201314e-24,4.117525e-05,3.889854e-09,2.651518e-03,7.459623e-10,
1.494494e+00,2.195116e-07,5.772979e-01,2.190045e-07,4.056388e-01,6.213515e+01,4.056388e-01,2.190045e-07,5.772979e-01,2.195116e-07,7.631643e-10,2.778958e-03,4.432033e-09,4.099078e-05,1.201314e-24,4.099078e-05,4.432033e-09,2.778958e-03,7.631643e-10,
1.513514e+00,2.195092e-07,5.742100e-01,2.189211e-07,4.056566e-01,6.213515e+01,4.056566e-01,2.189211e-07,5.742100e-01,2.195092e-07,7.821314e-10,2.917934e-03,5.096867e-09,4.080920e-05,1.201314e-24,4.080920e-05,5.096867e-09,2.917934e-03,7.821314e-10,
1.532533e+00,2.195066e-07,5.707799e-01,2.188174e-07,4.056742e-01,6.213515e+01,4.056742e-01,2.188174e-07,5.707799e-01,2.195066e-07,8.030093e-10,3.069734e-03,5.923317e-09,4.063049e-05,1.201314e-24,4.063049e-05,5.923317e-09,3.069734e-03,8.030093e-10,
1.551552e+00,2.195038e-07,5.669658e-01,2.186866e-07,4.056918e-01,6.213515e+01,4.056918e-01,2.186866e-07,5.669658e-01,2.195038e-07,8.259643e-10,3.235821e-03,6.966597e-09,4.045459e-05,1.201314e-24,4.045459e-05,6.966597e-09,3.235821e-03,8.259643e-10,
1.570571e+00,2.195007e-07,5.627201e-01,2.185187e-07,4.057092e-01,6.213515e+01,4.057092e-01,2.185187e-07,5.627201e-01,2.195007e-07,8.511861e-10,3.417859e-03,8.306645e-09,4.028147e-05,1.201314e-24,4.028147e-05,8.306645e-09,3.417859e-03,8.511861e-10,
1.589590e+00,2.194972e-07,5.579878e-01,2.182988e-07,4.057266e-01,6.213515e+01,4.057266e-01,2.182988e-07,5.579878e-01,2.194972e-07,8.788916e-10,3.617740e-03,1.006188e-08,4.011109e-05,1.201314e-24,4.011109e-05,1.006188e-08,3.617740e-03,8.788916e-10,
1.608609e+00,2.194934e-07,5.527060e-01,2.180044e-07,4.057439e-01,6.213515e+01,4.057439e-01,2.180044e-07,5.527060e-01,2.194934e-07,9.093287e-10,3.837618e-03,1.241186e-08,3.994342e-05,1.201314e-24,3.994342e-05,1.241186e-08,3.837618e-03,9.093287e-10,
1.627628e+00,2.194893e-07,5.468026e-01,2.176009e-07,4.057611e-01,6.213515e+01,4.057611e-01,2.176009e-07,5.468026e-01,2.194893e-07,9.427821e-10,4.079949e-03,1.563491e-08,3.977841e-05,1.201314e-24,3.977841e-05,1.563491e-08,4.079949e-03,9.427821e-10,
1.646647e+00,2.194847e-07,5.401941e-01,2.170334e-07,4.057782e-01,6.213515e+01,4.057782e-01,2.170334e-07,5.401941e-01,2.194847e-07,9.795795e-10,4.347527e-03,2.016904e-08,3.961604e-05,1.201314e-24,3.961604e-05,2.016904e-08,4.347527e-03,9.795795e-10,
1.665666e+00,2.194797e-07,5.327852e-01,2.162160e-07,4.057953e-01,6.213515e+01,4.057953e-01,2.162160e-07,5.327852e-01,2.194797e-07,1.020099e-09,4.643527e-03,2.670127e-08,3.945627e-05,1.201314e-24,3.945627e-05,2.670127e-08,4.643527e-03,1.020099e-09,
1.684685e+00,2.194742e-07,5.244661e-01,2.150218e-07,4.058122e-01,6.213515e+01,4.058122e-01,2.150218e-07,5.244661e-01,2.194742e-07,1.064777e-09,4.971557e-03,3.624923e-08,3.929907e-05,1.201314e-24,3.929907e-05,3.624923e-08,4.971557e-03,1.064777e-09,
1.703704e+00,2.194681e-07,5.151111e-01,2.133027e-07,4.058291e-01,6.213515e+01,4.058291e-01,2.133027e-07,5.151111e-01,2.194681e-07,1.114124e-09,5.335695e-03,4.999988e-08,3.914440e-05,1.201314e-24,3.914440e-05,4.999988e-08,5.335695e-03,1.114124e-09,
1.722723e+00,2.194613e-07,5.045769e-01,2.110511e-07,4.058459e-01,6.213515e+01,4.058459e-01,2.110511e-07,5.045769e-01,2.194613e-07,1.168731e-09,5.740524e-03,6.802200e-08,3.899222e-05,1.201314e-24,3.899222e-05,6.802200e-08,5.740524e-03,1.168731e-09,
1.741742e+00,2.194538e-07,4.927008e-01,2.088709e-07,4.058626e-01,6.213515e+01,4.058626e-01,2.088709e-07,4.927008e-01,2.194538e-07,1.229295e-09,6.191159e-03,8.549211e-08,3.884252e-05,1.201314e-24,3.884252e-05,8.549211e-08,6.191159e-03,1.229295e-09,
1.760761e+00,2.194455e-07,4.793002e-01,2.081909e-07,4.058793e-01,6.213515e+01,4.058793e-01,2.081909e-07,4.793002e-01,2.194455e-07,1.296633e-09,6.693235e-03,9.097881e-08,3.869525e-05,1.201314e-24,3.869525e-05,9.097881e-08,6.693235e-03,1.296633e-09,
1.779780e+00,2.194362e-07,4.641721e-01,2.096367e-07,4.058958e-01,6.213515e+01,4.058958e-01,2.096367e-07,4.641721e-01,2.194362e-07,1.371715e-09,7.252853e-03,7.945458e-08,3.855039e-05,1.201314e-24,3.855039e-05,7.945458e-08,7.252853e-03,1.371715e-09,
1.798799e+00,2.194258e-07,4.470960e-01,2.119851e-07,4.059123e-01,6.213515e+01,4.059123e-01,2.119851e-07,4.470960e-01,2.194258e-07,1.455693e-09,7.876442e-03,6.068844e-08,3.840790e-05,1.201314e-24,3.840790e-05,6.068844e-08,7.876442e-03,1.455693e-09,
1.817818e+00,2.194142e-07,4.278390e-01,2.140559e-07,4.059287e-01,6.213515e+01,4.059287e-01,2.140559e-07,4.278390e-01,2.194142e-07,1.549947e-09,8.570501e-03,4.412703e-08,3.826777e-05,1.201314e-24,3.826777e-05,4.412703e-08,8.570501e-03,1.549947e-09,
1.836837e+00,2.194010e-07,4.061660e-01,2.155560e-07,4.059451e-01,6.213515e+01,4.059451e-01,2.155560e-07,4.061660e-01,2.194010e-07,1.656141e-09,9.341159e-03,3.212292e-08,3.812995e-05,1.201314e-24,3.812995e-05,3.212292e-08,9.341159e-03,1.656141e-09,
1.855856e+00,2.193862e-07,3.818578e-01,2.165854e-07,4.059614e-01,6.213515e+01,4.059614e-01,2.165854e-07,3.818578e-01,2.193862e-07,1.776292e-09,1.019347e-02,2.388219e-08,3.799442e-05,1.201314e-24,3.799442e-05,2.388219e-08,1.019347e-02,1.776292e-09,
1.874875e+00,2.193693e-07,3.547398e-01,2.172920e-07,4.059776e-01,6.213515e+01,4.059776e-01,2.172920e-07,3.547398e-01,2.193693e-07,1.912867e-09,1.113034e-02,1.822386e-08,3.786116e-05,1.201314e-24,3.786116e-05,1.822386e-08,1.113034e-02,1.912867e-09,
