Frequency,M2a to BHD,M2b to BHD,DARM to BHD,M6 to BHD,M7 to BHD,M9 to BHD,M2a to PDH_A,M2b to PDH_B,DARM to PDH,M6 to PDH_A,M6 to PDH_B,M7 to PDH_A,M7 to PDH_B,M9 to PDH_A,M9 to PDH_B,
1.202486e+01,679873.5573521773330867+172805015.8534895479679108j,-679876.8198252619476989-172805598.2339432239532471j,-679875.1885887195821851-172805307.0437163710594177j,233.3739020444936898+58240.1116081434447551j,214.8627047281104296+53620.4124646284180926j,-0.0047734180251189-0.1129317718243951j,-90634153.8490181416273117+178286.7818931328947656j,-91536431.6943008303642273+180065.9935158648877405j,451138.9226413443684578-889.6058113659964874j,-0.0000001962411456-0.0000052235847149j,-0.1237871459045743-62.9265688767623814j,0.1128446890035032+57.3644248271852106j,-0.0000017999601077-0.0001658098612415j,0.0000001083601461+0.0000120246856569j,-0.0000248294785324+0.0023157014832378j,
1.213624e+01,692527.4986941679380834+174405530.4384062290191650j,-692527.6102070128545165-174406118.0675522983074188j,-692527.5544505903963000-174405824.2529792785644531j,237.7172807657323688+58779.5296358254636289j,218.8637855017485094+54117.0430034511373378j,-0.0004225752719891-0.1139388389511281j,-90634146.8723241239786148+179933.5507585414743517j,-91536424.6498301923274994+181729.2806296837516129j,451138.8887530341744423-897.8649355711386306j,0.0000180611678192-0.0017181842049155j,-0.1260709119661649-63.5112760232574232j,0.1149447783713393+57.8957390441782564j,0.0000097894225349-0.0014721905385336j,0.0000239301540876-0.0022262284315311j,0.0000242029568074-0.0022522983168416j,
1.224865e+01,705405.8770411711884663+176020868.1721676290035248j,-705400.3756137498421595-176021461.2959994673728943j,-705403.1263274605153129-176021164.7340835332870483j,242.1381709107424740+59323.9434761682205135j,222.9339761592037235+54618.2730633543542353j,-0.0004478323993386-0.1149941122451760j,-90634139.8785078823566437+181604.7190930774959270j,-91536417.5889544785022736+183417.5312886556785088j,451138.8552232980728149-906.4060977890912909j,0.0000271207461931-0.0032451391894414j,-0.1284182448624864-64.0994731733169942j,0.1170839032725618+58.4319774946491748j,0.0000001536203336+0.0000042841827701j,0.0000001377251091+0.0000100078420813j,0.0000001648502154+0.0000105235782080j,
1.236210e+01,718549.0094472323544323+177651166.4941553771495819j,-718543.8360743460943922-177651765.1151647865772247j,-718546.4227607892826200-177651465.8046600818634033j,246.6476975053261071+59873.3994157203342183j,227.0877620804150467+55124.1452969319580006j,-0.0004575817769069-0.1160593391458649j,-90634132.6169044375419617+183276.6812201059365179j,-91536410.2514844387769699+185105.9043883675767574j,451138.8172900006175041-914.6115841308201198j,0.0000305161966949-0.0014068303641598j,-0.1308034793897411-64.6929918735526002j,0.1192960292513074+58.9699335400097056j,0.0000480105300737-0.0058339273675706j,0.0000001602391934+0.0000097538548917j,0.0000001121674952+0.0000117841827020j,
1.247660e+01,731920.8178404975915328+179296563.7815559208393097j,-731915.7551540986169130-179297167.9492252469062805j,-731918.2864972981624305-179296865.8653905987739563j,251.2400055135668993+60427.9441623378806980j,231.3137324139653970+55634.7026413905769004j,-0.0004657449443266-0.1171341706454295j,-90634125.3434731662273407+184974.4983848522242624j,-91536402.9036605209112167+186820.5250556315295398j,451138.7800936773419380-923.0133353896526387j,-0.0000250332048430+0.0031166565637018j,-0.1332801182171155-65.2887207443668416j,0.1215142586448473+59.5162071207877119j,0.0000458533304965-0.0057309211310830j,0.0000001647480981+0.0000063089683141j,0.0000001756262583+0.0000075693947416j,
1.259216e+01,745535.3093260935274884+180957199.9008038938045502j,-745537.8318355495575815-180957809.6897142827510834j,-745536.5705808214843273-180957504.7952590882778168j,255.9157587733421622+60987.6247900740927435j,235.6161682628029723+56149.9884950792838936j,-0.0004730157751530-0.1182190513213902j,-90634118.0025835782289505+186693.5250091022753622j,-91536395.4404426366090775+188551.7320248175237793j,451138.7189295291900635-929.1035078576242086j,-0.0000083635572777+0.0014741264794534j,-0.1357423731920334-65.8952192707132269j,0.1237431510502642+60.0706697872360209j,0.0000077328297952-0.0013683292919055j,0.0000205184399288-0.0020702430221727j,0.0000207394017806-0.0020922549330381j,
1.270879e+01,759400.5545442675938830+182633215.9588875472545624j,-759403.1119346213527024-182633831.3949643671512604j,-759401.8332394445315003-182633523.6769259572029114j,260.6753551120024213+61552.4888671719745616j,239.9982229380350134+56670.0466470679239137j,-0.0004820219261888-0.1193140056954681j,-90634110.5215858072042465+188426.9940988256421406j,-91536387.8847850859165192+190302.4396692860755138j,451138.6815996393561363-937.7227852302166866j,-0.0000001536710164-0.0000069513472648j,-0.1382685428692199-66.5055490909714422j,0.1260459904083056+60.6270528920450573j,0.0000001433208368+0.0000053925150882j,0.0000001321522766+0.0000098057874528j,0.0000001464619244+0.0000086068138588j,
1.282650e+01,773532.9947600131854415+184324754.4256521463394165j,-773535.6013685740763322-184325375.5623135864734650j,-773534.2980642935726792-184325064.9939828515052795j,265.5265185326201731+62122.5844146450763219j,244.4645914375049074+57194.9213006599384244j,-0.0004931366545514-0.1204191932796886j,-90634102.8724510669708252+190172.2223164874885697j,-91536380.1597474366426468+192065.0525293479149695j,451138.6436481848359108-946.4151064302131999j,-0.0000001471612253-0.0000053793278948j,-0.1408417799684186-67.1215294481935416j,0.1283917429307682+61.1885874268944789j,0.0000001500897180+0.0000040302836040j,0.0000001433364440+0.0000079619944410j,0.0000001122507020+0.0000096549728088j,
1.294530e+01,787924.8358856033300981+186031958.9773677289485931j,-787939.9039504649117589-186032585.9210199117660522j,-787932.3699180341791362-186032272.4491938352584839j,270.4708292628259301+62697.9598730063953553j,249.0167184483937604+57724.6570540378597798j,-0.0004955500892944-0.1215344667687574j,-90634095.1253498047590256+191935.6006623049324844j,-91536372.2672675997018814+193839.9538404629274737j,451138.5709588974714279-952.1765890789974947j,-0.0000068648095447+0.0013933458783929j,-0.1434628489048528-67.7432177147929764j,0.1307810930060976+61.7553247032813672j,0.0000063534501874-0.0012951078004553j,0.0000181656110096-0.0019561883276640j,0.0000183479125355-0.0019769277250557j,
1.306520e+01,802583.1967863355530426+187754974.7399399578571320j,-802578.5555395430419594-187755607.4215035438537598j,-802580.8761629392392933-187755291.0807217359542847j,275.4959892255180307+63278.6640981190867024j,253.6456410581458840+58259.2988925757745164j,-0.0005088177757571-0.1226601686431441j,-90634087.2201158255338669+193715.2765356475138105j,-91536364.3930854797363281+195647.9923567032674327j,451138.5864848271012306-966.3579105278768111j,0.0000255389573471-0.0042206417099244j,-0.1461182375313815-68.3722776985782161j,0.1332149981398926+62.3273076809230346j,-0.0000056635990404+0.0012813731036620j,-0.0000171915992536+0.0019372391637929j,-0.0000173897470464+0.0019562218482121j,
1.318621e+01,817536.7107857441296801+189493948.1355112493038177j,-817527.3506991539616138-189494586.5759380459785461j,-817532.0307424489874393-189494267.3557246327400208j,280.6312733595212876+63864.7464997085262439j,258.3712054205815321+58798.8922927972889738j,-0.0005255068830428-0.1237960846226145j,-90634079.1071318238973618+195501.6795162694470491j,-91536356.2107707262039185+197453.3542158588825259j,451138.5518194511532784-975.8373497947177384j,-0.0000059503357277+0.0013427992682660j,-0.1488522597230827-69.0039188978264662j,0.1356941156588040+62.9045896501845476j,0.0000055432568705-0.0012475090616776j,0.0000167500287621-0.0018847091154556j,0.0000169497239828-0.0019057697507849j,
1.330835e+01,832742.3101778413401917+191249026.8181442916393280j,-832752.4153615833492950-191249671.2986454367637634j,-832747.3627697123447433-191249349.0583948493003845j,285.8534080652895568+64456.2568255938822404j,263.1768680272511460+59343.4830611227444024j,-0.0005308462820678-0.1249427930149441j,-90634070.9597983062267303+197316.3305010801122990j,-91536347.8912811428308487+199275.8213682994537521j,451138.4657414183020592-979.7454336096707266j,-0.0000262790972018+0.0026991641434315j,-0.1516416267431643-69.6414829824668828j,0.1382194231717128+63.4872163852041496j,0.0000001326468997+0.0000057997967047j,0.0000001245872546+0.0000082473388984j,0.0000001252284541+0.0000094881373452j,
1.343161e+01,848239.6035596810979769+193020360.0111861824989319j,-848249.7585529534844682-193021010.4583408236503601j,-848244.6810563172912225-193020685.2347635030746460j,291.1731554630426899+65053.2453415914424113j,268.0745806539134151+59893.1174961210563197j,-0.0005506499483169-0.1261000210716675j,-90634062.6390726417303085+199143.9038254443730693j,-91536339.4891677945852280+201121.6716474613349419j,451138.4250475764274597-988.8839110084809363j,-0.0000167967509674+0.0026856652921864j,-0.1544569297645598-70.2865532348575925j,0.1407916808760762+64.0752425402888832j,0.0000001461910135+0.0000054847221614j,0.0000001147010284+0.0000099549969071j,0.0000000905786932+0.0000107502536845j,
1.355602e+01,864033.8487510986160487+194808098.2180791795253754j,-864029.6092714765109122-194808754.6756106317043304j,-864031.7290112875634804-194808426.4468449056148529j,296.5915065865939368+65655.7627650675713085j,273.0659775066991415+60447.8422980671894038j,-0.0062488884029292-0.1273034807951887j,-90634054.1453522294759750+200984.7569195352552924j,-91536330.9828903973102570+202989.5028554050077219j,451138.4187690839171410-1002.3729679348762147j,0.0000019865737030+0.0023825144637571j,-0.1573249018167963-70.9377025359675599j,0.1434118494746034+64.6687141204560589j,0.0000044172469619-0.0011800919341663j,0.0000172123867786-0.0017823874966914j,-0.0000052451264949+0.0008800956202990j,
1.368158e+01,880096.4956730869598687+196612393.2938632071018219j,-880092.4760118791600689-196613055.8328004777431488j,-880094.4858424831181765-196612724.5633318424224854j,302.1036463960344349+66263.8603570709092310j,278.1426330096364836+61007.7045894450056949j,-0.0005692416422412-0.1284467218112637j,-90634045.5946851074695587+202853.5609703220252413j,-91536322.3455381989479065+204876.8298677559359930j,451138.3754265457391739-1011.6344487169553759j,0.0000189314241050-0.0038506289281319j,-0.1602342919789892-71.5976129288146268j,0.1460807636050334+65.2676809903073121j,-0.0000037268568568+0.0011686605980430j,-0.0000139087341173+0.0017679627300794j,-0.0000140713344622+0.0017860241448470j,
1.380830e+01,896483.6412119120359421+198433398.6244654357433319j,-896479.7407404354307801-198434067.3017224371433258j,-896481.6909761737333611-198433732.9630939364433289j,307.7286381240918445+66877.5897266374959145j,283.3214272817931487+61572.7519597049395088j,-0.0005643502873673-0.1296363297920191j,-90634036.8083485513925552+204728.8054611270490568j,-91536313.4702848941087723+206770.6613747610826977j,451138.3309681713581085-1020.9279568170168204j,0.0000139245588323-0.0025514974136379j,-0.1632170044618822-72.2607149918724332j,0.1487993284325095+65.8721963263612196j,0.0000001483358275+0.0000028374026807j,0.0000001189032186+0.0000091167078387j,0.0000001488090741+0.0000051521225067j,
1.393619e+01,913167.2293329563690349+200271268.8936288058757782j,-913170.3132161097601056-200271943.7668564319610596j,-913168.7712745331227779-200271606.3302426338195801j,313.4579509410743299+67497.0030346741114045j,288.5940284533151043+62143.0324091590227908j,-0.0005797183169980-0.1308370541231611j,-90634027.8991305679082870+206625.0304744034074247j,-91536304.4401634484529495+208681.6186427824140992j,451138.2705164402723312-1028.2940841895033373j,-0.0000001376705184-0.0000053138075066j,-0.1662659617307164-72.9285421624333736j,0.1515684781518236+66.4823101244560775j,0.0000001410338942+0.0000055064877119j,0.0000001325235777+0.0000097490263348j,0.0000001459146589+0.0000090337661917j,
1.406527e+01,930161.2770849509397522+202126160.2753323018550873j,-930164.2064997133566067-202126841.3904589116573334j,-930162.7417923321481794-202126500.8328956067562103j,319.2914078583788751+68122.1529137220495613j,293.9647674526606238+62718.5943962649616878j,-0.0006026865092357-0.1320488190365856j,-90634018.8354779183864594+208538.8218468375562225j,-91536295.3169241547584534+210614.4641913002997171j,451138.2407231181859970-1037.8211722313717473j,-0.0000001800185849-0.0000053302707731j,-0.1693601675235788-73.6040128867977188j,0.1543891844236027+67.0980778349663751j,0.0000001408689771+0.0000052930729597j,0.0000000968991349+0.0000093911660415j,0.0000001102956815+0.0000107767422538j,
1.419555e+01,947461.3817818226525560+203998230.3748042285442352j,-947481.5230261521646753-203998917.8068980276584625j,-947471.4524039874086156-203998574.0908511281013489j,325.2357577663887014+68753.0924814870086266j,299.4397318759729387+63299.4868238629496773j,-0.0006021428153690-0.1332718652055890j,-90634009.5891261845827103+210468.0321425396250561j,-91536285.9450938850641251+212561.2909716292051598j,451138.1779838502407074-1046.6294145447900519j,-0.0000118882272868+0.0024036542634106j,-0.1725218032151402-74.2843743051704308j,0.1572800796674732+67.7170839062024896j,0.0000216771365286-0.0044178192103312j,0.0000001203666201+0.0000092739535211j,0.0000001508815085+0.0000092645927232j,
1.432703e+01,965096.0154527851846069+205887638.2645007371902466j,-965106.0616121455095708-205888332.0588913857936859j,-965101.0385324653470889-205887985.1616960763931274j,331.2857452929027318+69389.8753487261710688j,305.0055320791440181+63885.7590543965052348j,-0.0006171608974650-0.1345063446783886j,-90634000.2548751085996628+212422.9978244016820099j,-91536276.4938628226518631+214533.4574507346842438j,451138.1194938570261002-1055.2298131665011169j,-0.0000087319308232+0.0012207366452474j,-0.1757318252528290-74.9724385491398522j,0.1601890438082226+68.3467687221015439j,-0.0000021190274088+0.0010642169571634j,-0.0000110932935540+0.0016114737544492j,-0.0000112318816263+0.0016284671627577j,
1.445973e+01,983056.6611145053757355+207794544.4797074496746063j,-983066.7006041296990588-207795244.6981692314147949j,-983061.6808593175373971-207794894.5889383554458618j,337.4509606811162712+70032.5556204198364867j,310.6817367786887303+64477.4608958876924589j,-0.0006286471024611-0.1357520405422558j,-90633990.7076933979988098+214390.3970540679292753j,-91536266.8529320359230042+216520.5030977699498180j,451138.0726193189620972-1065.0530218510102713j,-0.0000083058831706+0.0011955735082812j,-0.1790015913595486-75.6668786170389325j,0.1631701918248770+68.9798030545322689j,-0.0000018475496022+0.0010452106430461j,-0.0000105999858213+0.0015808873664811j,-0.0000106945286748+0.0015954136398398j,
1.459366e+01,1001359.3171721058897674+209719111.0405176579952240j,-1001362.8016544681740925-209719817.7508338987827301j,-1001361.0594132870901376-209719464.3956757783889771j,343.7311591716565431+70681.1879033347067889j,316.4659172145360913+65074.6426230252836831j,-0.0006420367515122-0.1370093245387027j,-90633980.9726040065288544+216372.8623279969906434j,-91536257.0464916825294495+218526.4741770085238386j,451138.0369438380002975-1076.8059245057665976j,-0.0000001662973862-0.0000033936883878j,-0.1823237271504004-76.3690393855623029j,0.1662067766161674+69.6186990010744893j,0.0000001333570565+0.0000039845560158j,0.0000001148609383+0.0000085337955597j,0.0000001453355897+0.0000072870863325j,
