Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
1.361361e+00,2.193078e-07,5.749951e-01,2.195268e-07,4.151833e-01,6.213515e+01,4.097292e-01,2.195036e-07,4.276821e-01,2.128012e-07,2.437079e-09,1.599178e-03,2.856749e-10,9.497662e-04,6.010188e-27,6.312244e-05,4.782595e-10,5.793278e-03,5.528114e-08,
1.380380e+00,2.193328e-07,5.767060e-01,2.195269e-07,4.151717e-01,6.213515e+01,4.097505e-01,2.195052e-07,4.408468e-01,2.088687e-07,2.232326e-09,1.561382e-03,2.851202e-10,9.941169e-04,6.010188e-27,6.367254e-05,4.644609e-10,5.383110e-03,8.725677e-08,
1.399399e+00,2.193545e-07,5.783261e-01,2.195269e-07,4.151483e-01,6.213515e+01,4.097721e-01,2.195068e-07,4.528083e-01,2.023000e-07,2.055132e-09,1.526306e-03,2.847533e-10,1.041545e-03,6.010188e-27,6.423247e-05,4.515407e-10,5.014235e-03,1.406835e-07,
1.418418e+00,2.193734e-07,5.798612e-01,2.195269e-07,4.151114e-01,6.213515e+01,4.097937e-01,2.195083e-07,4.636912e-01,1.952325e-07,1.900839e-09,1.493773e-03,2.845731e-10,1.092325e-03,6.010188e-27,6.480245e-05,4.394344e-10,4.682001e-03,1.982008e-07,
1.437437e+00,2.193900e-07,5.813167e-01,2.195269e-07,4.150590e-01,6.213515e+01,4.098155e-01,2.195097e-07,4.736085e-01,1.963152e-07,1.765734e-09,1.463623e-03,2.845793e-10,1.146765e-03,6.010188e-27,6.538271e-05,4.280837e-10,4.382271e-03,1.894579e-07,
1.456456e+00,2.194045e-07,5.826976e-01,2.195268e-07,4.149888e-01,6.213515e+01,4.098375e-01,2.195110e-07,4.826615e-01,2.038623e-07,1.646828e-09,1.435709e-03,2.847718e-10,1.205201e-03,6.010188e-27,6.597347e-05,4.174358e-10,4.111383e-03,1.281073e-07,
1.475475e+00,2.194174e-07,5.840082e-01,2.195268e-07,4.148985e-01,6.213515e+01,4.098596e-01,2.195122e-07,4.909408e-01,2.098719e-07,1.541696e-09,1.409901e-03,2.851511e-10,1.268010e-03,6.010188e-27,6.657499e-05,4.074426e-10,3.866110e-03,7.923213e-08,
1.494494e+00,2.194288e-07,5.852528e-01,2.195267e-07,4.147850e-01,6.213515e+01,4.098819e-01,2.195134e-07,4.985269e-01,2.133746e-07,1.448354e-09,1.386079e-03,2.857183e-10,1.335607e-03,6.010188e-27,6.718749e-05,3.980605e-10,3.643613e-03,5.073683e-08,
1.513514e+00,2.194390e-07,5.864349e-01,2.195266e-07,4.146451e-01,6.213515e+01,4.099044e-01,2.195144e-07,5.054911e-01,2.153795e-07,1.365163e-09,1.364137e-03,2.864748e-10,1.408456e-03,6.010188e-27,6.781124e-05,3.892499e-10,3.441398e-03,3.442312e-08,
1.532533e+00,2.194481e-07,5.875581e-01,2.195264e-07,4.144750e-01,6.213515e+01,4.099270e-01,2.195155e-07,5.118969e-01,2.165839e-07,1.290765e-09,1.343978e-03,2.874226e-10,1.487071e-03,6.010188e-27,6.844649e-05,3.809744e-10,3.257277e-03,2.462106e-08,
1.551552e+00,2.194562e-07,5.886254e-01,2.195263e-07,4.142702e-01,6.213515e+01,4.099498e-01,2.195164e-07,5.178002e-01,2.173492e-07,1.224023e-09,1.325515e-03,2.885643e-10,1.572022e-03,6.010188e-27,6.909351e-05,3.732011e-10,3.089325e-03,1.839197e-08,
1.570571e+00,2.194636e-07,5.896396e-01,2.195261e-07,4.140258e-01,6.213515e+01,4.099727e-01,2.195173e-07,5.232510e-01,2.178604e-07,1.163983e-09,1.308669e-03,2.899028e-10,1.663945e-03,6.010188e-27,6.975258e-05,3.658997e-10,2.935854e-03,1.422932e-08,
1.589590e+00,2.194702e-07,5.906032e-01,2.195259e-07,4.137359e-01,6.213515e+01,4.099959e-01,2.195181e-07,5.282930e-01,2.182169e-07,1.109837e-09,1.293371e-03,2.914418e-10,1.763544e-03,6.010188e-27,7.042398e-05,3.590427e-10,2.795376e-03,1.132680e-08,
