Schnupp length,Tuned PRC carrier,Tuned SRC carrier,Tuned X carrier,Tuned Y carrier,Tuned PRC f_1,Tuned SRC f_1,Tuned X f_1,Tuned Y f_1,Tuned PRC f_2,Tuned SRC f_2,Tuned X f_2,Tuned Y f_2,Detuned PRC carrier,Detuned SRC carrier,Detuned X carrier,Detuned Y carrier,Detuned PRC f_1,Detuned SRC f_1,Detuned X f_1,Detuned Y f_1,Detuned PRC f_2,Detuned SRC f_2,Detuned X f_2,Detuned Y f_2,
7.070707e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.002811e-01,1.906302e-04,8.315780e-03,9.052435e-03,6.045889e-01,1.058350e-03,7.594120e-04,7.187703e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073277e-01,2.582721e-05,8.841436e-03,8.823414e-03,4.294221e-02,2.326551e-02,8.589834e-05,8.981491e-05,
7.575758e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.992426e-01,2.182715e-04,8.268658e-03,9.056025e-03,6.032852e-01,1.212574e-03,7.594645e-04,7.160077e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073212e-01,2.964835e-05,8.841980e-03,8.822796e-03,3.465988e-02,2.177169e-02,7.376525e-05,7.718686e-05,
8.080808e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.981355e-01,2.476601e-04,8.220300e-03,9.057965e-03,6.018274e-01,1.376611e-03,7.593335e-04,7.130825e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073141e-01,3.373294e-05,8.842518e-03,8.822173e-03,2.814341e-02,2.032973e-02,6.383051e-05,6.682653e-05,
8.585859e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.969602e-01,2.787648e-04,8.170732e-03,9.058254e-03,6.002037e-01,1.550237e-03,7.590027e-04,7.099815e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073064e-01,3.808097e-05,8.843050e-03,8.821544e-03,2.298786e-02,1.896142e-02,5.563805e-05,5.826865e-05,
9.090909e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.957175e-01,3.115528e-04,8.119979e-03,9.056894e-03,5.984020e-01,1.733198e-03,7.584555e-04,7.066912e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072982e-01,4.269240e-05,8.843576e-03,8.820910e-03,1.888509e-02,1.767790e-02,4.883326e-05,5.115006e-05,
9.595960e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.944080e-01,3.459897e-04,8.068069e-03,9.053885e-03,5.964097e-01,1.925205e-03,7.576743e-04,7.031977e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072893e-01,4.756723e-05,8.844098e-03,8.820270e-03,1.560055e-02,1.648332e-02,4.314016e-05,4.518717e-05,
1.010101e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.930324e-01,3.820393e-04,8.015026e-03,9.049231e-03,5.942144e-01,2.125932e-03,7.566414e-04,6.994870e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072799e-01,5.270544e-05,8.844613e-03,8.819624e-03,1.295531e-02,1.537737e-02,3.834333e-05,4.015791e-05,
1.060606e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.915915e-01,4.196637e-04,7.960880e-03,9.042934e-03,5.918033e-01,2.335013e-03,7.553387e-04,6.955451e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072699e-01,5.810699e-05,8.845123e-03,8.818973e-03,1.081238e-02,1.435699e-02,3.427385e-05,3.588772e-05,
1.111111e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.900861e-01,4.588236e-04,7.905658e-03,9.034999e-03,5.891637e-01,2.552045e-03,7.537481e-04,6.913580e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072593e-01,6.377186e-05,8.845627e-03,8.818316e-03,9.066428e-03,1.341759e-02,3.079863e-05,3.223867e-05,
1.161616e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.885171e-01,4.994780e-04,7.849388e-03,9.025432e-03,5.862831e-01,2.776578e-03,7.518513e-04,6.869123e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.072481e-01,6.970003e-05,8.846126e-03,8.817654e-03,7.636028e-03,1.255377e-02,2.781216e-05,2.910121e-05,
