DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-9.759760e-11,3.906386e-10,3.374377e-04,1.014027e-08,6.060640e-05,4.859158e-01,6.082017e-05,1.014097e-08,3.374511e-04,3.906495e-10,1.910996e-10,7.595549e-04,6.924802e-10,8.244677e-03,8.424541e+02,8.211599e-03,6.919733e-10,7.591801e-04,1.910432e-10,2.511453e-10,7.133865e-04,1.946955e-10,9.040325e-03,8.422856e+02,9.075245e-03,1.948387e-10,7.137376e-04,2.512194e-10,4.867121e-01,
-9.739740e-11,3.906386e-10,3.374377e-04,1.014027e-08,6.060662e-05,4.874713e-01,6.081995e-05,1.014097e-08,3.374511e-04,3.906494e-10,1.910995e-10,7.595545e-04,6.924796e-10,8.244643e-03,8.460666e+02,8.211633e-03,6.919738e-10,7.591805e-04,1.910432e-10,2.511454e-10,7.133868e-04,1.946957e-10,9.040360e-03,8.458974e+02,9.075209e-03,1.948386e-10,7.137372e-04,2.512194e-10,4.882677e-01,
-9.719720e-11,3.906387e-10,3.374377e-04,1.014027e-08,6.060684e-05,4.890334e-01,6.081973e-05,1.014097e-08,3.374511e-04,3.906494e-10,1.910995e-10,7.595541e-04,6.924791e-10,8.244609e-03,8.497020e+02,8.211667e-03,6.919743e-10,7.591809e-04,1.910433e-10,2.511454e-10,7.133872e-04,1.946958e-10,9.040396e-03,8.495321e+02,9.075173e-03,1.948384e-10,7.137369e-04,2.512193e-10,4.898298e-01,
-9.699700e-11,3.906387e-10,3.374378e-04,1.014027e-08,6.060706e-05,4.906021e-01,6.081951e-05,1.014097e-08,3.374511e-04,3.906494e-10,1.910994e-10,7.595537e-04,6.924786e-10,8.244575e-03,8.533606e+02,8.211701e-03,6.919748e-10,7.591813e-04,1.910434e-10,2.511455e-10,7.133875e-04,1.946960e-10,9.040432e-03,8.531899e+02,9.075137e-03,1.948383e-10,7.137365e-04,2.512192e-10,4.913985e-01,
-9.679680e-11,3.906387e-10,3.374378e-04,1.014027e-08,6.060728e-05,4.921775e-01,6.081929e-05,1.014097e-08,3.374511e-04,3.906494e-10,1.910994e-10,7.595534e-04,6.924781e-10,8.244541e-03,8.570425e+02,8.211735e-03,6.919754e-10,7.591817e-04,1.910434e-10,2.511456e-10,7.133879e-04,1.946961e-10,9.040467e-03,8.568711e+02,9.075101e-03,1.948381e-10,7.137362e-04,2.512191e-10,4.929738e-01,
-9.659660e-11,3.906387e-10,3.374378e-04,1.014027e-08,6.060750e-05,4.937594e-01,6.081907e-05,1.014097e-08,3.374511e-04,3.906494e-10,1.910993e-10,7.595530e-04,6.924776e-10,8.244507e-03,8.607479e+02,8.211769e-03,6.919759e-10,7.591820e-04,1.910435e-10,2.511457e-10,7.133883e-04,1.946963e-10,9.040503e-03,8.605757e+02,9.075065e-03,1.948380e-10,7.137358e-04,2.512191e-10,4.945558e-01,
-9.639640e-11,3.906387e-10,3.374378e-04,1.014027e-08,6.060772e-05,4.953481e-01,6.081885e-05,1.014097e-08,3.374511e-04,3.906494e-10,1.910993e-10,7.595526e-04,6.924770e-10,8.244473e-03,8.644769e+02,8.211802e-03,6.919764e-10,7.591824e-04,1.910435e-10,2.511457e-10,7.133886e-04,1.946964e-10,9.040539e-03,8.643040e+02,9.075029e-03,1.948379e-10,7.137354e-04,2.512190e-10,4.961444e-01,
-9.619620e-11,3.906387e-10,3.374378e-04,1.014027e-08,6.060794e-05,4.969435e-01,6.081863e-05,1.014097e-08,3.374510e-04,3.906494e-10,1.910992e-10,7.595522e-04,6.924765e-10,8.244439e-03,8.682299e+02,8.211836e-03,6.919769e-10,7.591828e-04,1.910436e-10,2.511458e-10,7.133890e-04,1.946966e-10,9.040575e-03,8.680563e+02,9.074993e-03,1.948377e-10,7.137351e-04,2.512189e-10,4.977398e-01,
-9.599600e-11,3.906387e-10,3.374378e-04,1.014027e-08,6.060816e-05,4.985456e-01,6.081841e-05,1.014097e-08,3.374510e-04,3.906494e-10,1.910991e-10,7.595518e-04,6.924760e-10,8.244405e-03,8.720070e+02,8.211870e-03,6.919774e-10,7.591832e-04,1.910436e-10,2.511459e-10,7.133893e-04,1.946967e-10,9.040610e-03,8.718326e+02,9.074958e-03,1.948376e-10,7.137347e-04,2.512188e-10,4.993419e-01,
-9.579580e-11,3.906387e-10,3.374378e-04,1.014027e-08,6.060837e-05,5.001544e-01,6.081820e-05,1.014096e-08,3.374510e-04,3.906494e-10,1.910991e-10,7.595514e-04,6.924755e-10,8.244371e-03,8.758083e+02,8.211904e-03,6.919779e-10,7.591836e-04,1.910437e-10,2.511460e-10,7.133897e-04,1.946969e-10,9.040646e-03,8.756331e+02,9.074922e-03,1.948374e-10,7.137344e-04,2.512188e-10,5.009508e-01,
-9.559560e-11,3.906387e-10,3.374379e-04,1.014027e-08,6.060859e-05,5.017701e-01,6.081798e-05,1.014096e-08,3.374510e-04,3.906493e-10,1.910990e-10,7.595510e-04,6.924750e-10,8.244337e-03,8.796341e+02,8.211938e-03,6.919785e-10,7.591840e-04,1.910438e-10,2.511461e-10,7.133901e-04,1.946970e-10,9.040682e-03,8.794582e+02,9.074886e-03,1.948373e-10,7.137340e-04,2.512187e-10,5.025664e-01,
