Frequency,Horizontal seismic motion,Requirement,
2.005868e+01,1.118087e-14,NaN,
2.015136e+01,1.046487e-14,NaN,
2.024447e+01,9.926293e-15,NaN,
2.033800e+01,7.998391e-15,NaN,
2.043197e+01,8.635554e-15,NaN,
2.052638e+01,7.541277e-15,NaN,
2.062122e+01,7.121994e-15,NaN,
2.071650e+01,5.335459e-15,NaN,
2.081222e+01,5.290120e-15,NaN,
2.090838e+01,4.891344e-15,NaN,
2.100498e+01,7.107518e-15,NaN,
2.110203e+01,4.922812e-15,NaN,
2.119953e+01,5.292196e-15,NaN,
2.129749e+01,5.655337e-15,NaN,
2.139589e+01,5.290658e-15,NaN,
2.149475e+01,4.738116e-15,NaN,
2.159406e+01,4.968106e-15,NaN,
2.169384e+01,3.803725e-15,NaN,
2.179407e+01,4.436683e-15,NaN,
2.189477e+01,4.074653e-15,NaN,
2.199593e+01,4.519378e-15,NaN,
2.209756e+01,4.122428e-15,NaN,
2.219966e+01,3.796083e-15,NaN,
2.230223e+01,4.527844e-15,NaN,
2.240528e+01,5.595174e-15,NaN,
2.250880e+01,5.360976e-15,NaN,
2.261280e+01,4.638295e-15,NaN,
2.271728e+01,4.956363e-15,NaN,
2.282224e+01,6.843385e-15,NaN,
2.292769e+01,7.273681e-15,NaN,
2.303363e+01,9.523883e-15,NaN,
2.314005e+01,1.003255e-14,NaN,
2.324697e+01,1.078470e-14,NaN,
2.335438e+01,1.691009e-14,NaN,
2.346229e+01,1.205026e-14,NaN,
2.357069e+01,1.027547e-14,NaN,
2.367960e+01,1.178589e-14,NaN,
2.378901e+01,1.001907e-14,NaN,
2.389893e+01,1.115431e-14,NaN,
2.400935e+01,1.202632e-14,NaN,
2.412028e+01,9.311482e-15,NaN,
2.423173e+01,7.372216e-15,NaN,
2.434369e+01,3.081331e-14,NaN,
2.445617e+01,1.368603e-14,NaN,
2.456916e+01,9.333090e-15,NaN,
2.468268e+01,9.248047e-15,NaN,
2.479673e+01,9.635488e-15,NaN,
2.491130e+01,1.073504e-14,NaN,
2.502640e+01,9.949522e-15,NaN,
2.514203e+01,8.242720e-15,NaN,
2.525820e+01,1.172639e-14,NaN,
2.537490e+01,1.263030e-14,NaN,
2.549215e+01,1.287456e-14,NaN,
2.560993e+01,1.264813e-14,NaN,
2.572826e+01,1.360433e-14,NaN,
2.584714e+01,1.401371e-14,NaN,
2.596656e+01,1.226947e-14,NaN,
2.608654e+01,1.362987e-14,NaN,
2.620707e+01,1.349350e-14,NaN,
2.632815e+01,1.251288e-14,NaN,
2.644980e+01,1.001434e-14,NaN,
2.657201e+01,1.024949e-14,NaN,
2.669478e+01,9.788580e-15,NaN,
2.681813e+01,7.622408e-15,NaN,
2.694204e+01,6.946879e-15,NaN,
2.706652e+01,5.685620e-15,NaN,
2.719158e+01,5.841074e-15,NaN,
2.731722e+01,5.848444e-15,NaN,
2.744343e+01,6.413895e-15,NaN,
2.757023e+01,7.404676e-15,NaN,
2.769762e+01,8.309541e-15,NaN,
2.782559e+01,1.007065e-14,NaN,
2.795416e+01,1.260135e-14,NaN,
2.808332e+01,1.279376e-14,NaN,
2.821308e+01,1.447834e-14,NaN,
2.834343e+01,1.356052e-14,NaN,
2.847439e+01,1.517208e-14,NaN,
2.860596e+01,1.551531e-14,NaN,
2.873813e+01,1.350604e-14,NaN,
2.887091e+01,1.769678e-14,NaN,
2.900430e+01,1.938740e-14,NaN,
2.913832e+01,2.064175e-14,NaN,
2.927295e+01,2.077168e-14,NaN,
2.940820e+01,2.305590e-14,NaN,
2.954408e+01,2.369721e-14,NaN,
2.968059e+01,2.603967e-14,NaN,
2.981772e+01,2.673342e-14,NaN,
2.995549e+01,3.039974e-14,NaN,
3.009390e+01,2.798233e-14,NaN,
3.023295e+01,3.284982e-14,NaN,
3.037264e+01,2.705636e-14,NaN,
3.051297e+01,3.640128e-14,NaN,
3.065395e+01,3.713427e-14,NaN,
3.079559e+01,3.985648e-14,NaN,
3.093788e+01,4.810834e-14,NaN,
3.108082e+01,5.030803e-14,NaN,
3.122443e+01,4.578728e-14,NaN,
3.136870e+01,4.869762e-14,NaN,
3.151363e+01,6.873275e-14,NaN,
3.165924e+01,8.912765e-14,NaN,
3.180552e+01,1.325084e-13,NaN,
3.195248e+01,4.403606e-13,NaN,
3.210011e+01,1.394173e-13,NaN,
3.224842e+01,5.981272e-14,NaN,
3.239743e+01,3.986671e-14,NaN,
3.254712e+01,5.744080e-14,NaN,
3.269750e+01,2.051469e-14,NaN,
3.284857e+01,1.784561e-14,NaN,
3.300035e+01,1.110014e-14,NaN,
3.315282e+01,1.135489e-14,NaN,
3.330600e+01,1.070572e-14,NaN,
3.345989e+01,9.869181e-15,NaN,
3.361449e+01,7.160659e-15,NaN,
3.376980e+01,6.308968e-15,NaN,
3.392583e+01,5.308850e-15,NaN,
3.408259e+01,5.010579e-15,NaN,
3.424006e+01,4.402878e-15,NaN,
3.439826e+01,4.887120e-15,NaN,
3.455720e+01,3.736214e-15,NaN,
3.471687e+01,3.449326e-15,NaN,
3.487727e+01,2.942248e-15,NaN,
3.503842e+01,2.603359e-15,NaN,
3.520031e+01,2.181718e-15,NaN,
3.536296e+01,1.848735e-15,NaN,
3.552635e+01,1.988911e-15,NaN,
3.569049e+01,1.948771e-15,NaN,
3.585540e+01,1.985692e-15,NaN,
3.602107e+01,1.556076e-15,NaN,
3.618750e+01,1.227501e-15,NaN,
3.635470e+01,1.391190e-15,NaN,
3.652267e+01,1.106200e-15,NaN,
3.669142e+01,1.013973e-15,NaN,
3.686095e+01,9.930030e-16,NaN,
3.703127e+01,9.558155e-16,NaN,
3.720237e+01,8.831394e-16,NaN,
3.737426e+01,8.370281e-16,NaN,
3.754694e+01,9.476621e-16,NaN,
3.772042e+01,9.615681e-16,NaN,
3.789471e+01,9.500671e-16,NaN,
3.806980e+01,8.439781e-16,NaN,
3.824570e+01,9.245321e-16,NaN,
3.842241e+01,8.921364e-16,NaN,
3.859994e+01,7.645999e-16,NaN,
3.877828e+01,8.071492e-16,NaN,
3.895746e+01,1.069121e-15,NaN,
3.913746e+01,7.404071e-16,NaN,
