DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-4.294294e-11,5.578688e-10,7.559740e-04,7.582415e-11,1.372885e-05,3.788833e-02,8.272362e-06,8.223895e-11,5.139194e-03,1.856593e-10,2.613659e-10,5.566534e-04,3.750477e-10,9.023084e-03,1.728612e+04,8.834948e-03,3.567406e-10,6.528474e-05,2.302101e-10,1.823938e-10,7.214401e-04,3.604877e-10,8.732522e-03,1.842682e+04,8.829747e-03,3.788950e-10,6.835906e-05,2.101931e-10,4.380550e-02,
-4.274274e-11,5.578689e-10,7.559740e-04,7.582416e-11,1.372891e-05,3.754122e-02,8.272332e-06,8.223895e-11,5.139194e-03,1.856593e-10,2.613659e-10,5.566531e-04,3.750474e-10,9.023048e-03,1.729121e+04,8.834982e-03,3.567408e-10,6.528478e-05,2.302102e-10,1.823939e-10,7.214405e-04,3.604880e-10,8.732556e-03,1.842673e+04,8.829712e-03,3.788947e-10,6.835903e-05,2.101931e-10,4.345839e-02,
-4.254254e-11,5.578689e-10,7.559740e-04,7.582416e-11,1.372896e-05,3.719563e-02,8.272301e-06,8.223894e-11,5.139194e-03,1.856593e-10,2.613658e-10,5.566529e-04,3.750472e-10,9.023013e-03,1.729628e+04,8.835017e-03,3.567411e-10,6.528481e-05,2.302102e-10,1.823939e-10,7.214408e-04,3.604883e-10,8.732591e-03,1.842663e+04,8.829677e-03,3.788944e-10,6.835899e-05,2.101930e-10,4.311280e-02,
-4.234234e-11,5.578689e-10,7.559741e-04,7.582417e-11,1.372901e-05,3.685156e-02,8.272271e-06,8.223893e-11,5.139194e-03,1.856593e-10,2.613657e-10,5.566526e-04,3.750469e-10,9.022978e-03,1.730133e+04,8.835052e-03,3.567414e-10,6.528485e-05,2.302103e-10,1.823940e-10,7.214412e-04,3.604885e-10,8.732625e-03,1.842650e+04,8.829642e-03,3.788941e-10,6.835896e-05,2.101930e-10,4.276873e-02,
-4.214214e-11,5.578689e-10,7.559741e-04,7.582417e-11,1.372906e-05,3.650900e-02,8.272240e-06,8.223893e-11,5.139194e-03,1.856593e-10,2.613656e-10,5.566523e-04,3.750466e-10,9.022943e-03,1.730638e+04,8.835087e-03,3.567417e-10,6.528488e-05,2.302104e-10,1.823940e-10,7.214416e-04,3.604888e-10,8.732659e-03,1.842637e+04,8.829608e-03,3.788938e-10,6.835893e-05,2.101929e-10,4.242617e-02,
-4.194194e-11,5.578689e-10,7.559741e-04,7.582418e-11,1.372911e-05,3.616797e-02,8.272210e-06,8.223892e-11,5.139194e-03,1.856592e-10,2.613655e-10,5.566520e-04,3.750463e-10,9.022907e-03,1.731141e+04,8.835122e-03,3.567419e-10,6.528492e-05,2.302104e-10,1.823941e-10,7.214419e-04,3.604891e-10,8.732694e-03,1.842621e+04,8.829573e-03,3.788936e-10,6.835890e-05,2.101928e-10,4.208514e-02,
-4.174174e-11,5.578689e-10,7.559741e-04,7.582418e-11,1.372916e-05,3.582846e-02,8.272179e-06,8.223892e-11,5.139195e-03,1.856592e-10,2.613655e-10,5.566517e-04,3.750460e-10,9.022872e-03,1.731642e+04,8.835157e-03,3.567422e-10,6.528496e-05,2.302105e-10,1.823942e-10,7.214423e-04,3.604894e-10,8.732728e-03,1.842605e+04,8.829538e-03,3.788933e-10,6.835887e-05,2.101928e-10,4.174563e-02,
-4.154154e-11,5.578689e-10,7.559742e-04,7.582419e-11,1.372921e-05,3.549048e-02,8.272149e-06,8.223891e-11,5.139195e-03,1.856592e-10,2.613654e-10,5.566514e-04,3.750457e-10,9.022837e-03,1.732143e+04,8.835192e-03,3.567425e-10,6.528499e-05,2.302106e-10,1.823942e-10,7.214426e-04,3.604897e-10,8.732763e-03,1.842586e+04,8.829503e-03,3.788930e-10,6.835884e-05,2.101927e-10,4.140765e-02,
-4.134134e-11,5.578690e-10,7.559742e-04,7.582419e-11,1.372926e-05,3.515402e-02,8.272118e-06,8.223890e-11,5.139195e-03,1.856592e-10,2.613653e-10,5.566511e-04,3.750454e-10,9.022802e-03,1.732642e+04,8.835227e-03,3.567428e-10,6.528503e-05,2.302106e-10,1.823943e-10,7.214430e-04,3.604899e-10,8.732797e-03,1.842566e+04,8.829468e-03,3.788927e-10,6.835881e-05,2.101926e-10,4.107119e-02,
-4.114114e-11,5.578690e-10,7.559742e-04,7.582420e-11,1.372931e-05,3.481909e-02,8.272088e-06,8.223890e-11,5.139195e-03,1.856592e-10,2.613652e-10,5.566508e-04,3.750451e-10,9.022767e-03,1.733139e+04,8.835261e-03,3.567430e-10,6.528506e-05,2.302107e-10,1.823943e-10,7.214434e-04,3.604902e-10,8.732831e-03,1.842545e+04,8.829433e-03,3.788924e-10,6.835877e-05,2.101926e-10,4.073626e-02,
