Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
9.509510e-03,2.196042e-07,6.108662e-01,2.195624e-07,4.073892e-01,6.213515e+01,4.073600e-01,2.195623e-07,5.565359e-01,2.196069e-07,3.146253e-11,5.006879e-05,4.281320e-12,7.726918e-07,6.010188e-27,4.671744e-07,4.643348e-12,5.112728e-03,1.047035e-11,
1.001001e-02,2.196038e-07,6.107635e-01,2.195623e-07,4.073924e-01,6.213515e+01,4.073601e-01,2.195623e-07,5.510126e-01,2.196067e-07,3.486164e-11,5.546876e-05,4.743852e-12,8.561751e-07,6.010188e-27,5.176449e-07,5.144991e-12,5.609560e-03,1.160154e-11,
1.051051e-02,2.196033e-07,6.106554e-01,2.195623e-07,4.073958e-01,6.213515e+01,4.073602e-01,2.195622e-07,5.452933e-01,2.196066e-07,3.843509e-11,6.114370e-05,5.230104e-12,9.439410e-07,6.010188e-27,5.707036e-07,5.672362e-12,6.121161e-03,1.279074e-11,
1.101101e-02,2.196028e-07,6.105417e-01,2.195622e-07,4.073994e-01,6.213515e+01,4.073602e-01,2.195621e-07,5.393893e-01,2.196064e-07,4.218288e-11,6.709333e-05,5.740078e-12,1.035990e-06,6.010188e-27,6.263507e-07,6.225460e-12,6.646198e-03,1.403796e-11,
1.151151e-02,2.196023e-07,6.104226e-01,2.195621e-07,4.074031e-01,6.213515e+01,4.073603e-01,2.195621e-07,5.333117e-01,2.196063e-07,4.610501e-11,7.331733e-05,6.273774e-12,1.132322e-06,6.010188e-27,6.845859e-07,6.804285e-12,7.183329e-03,1.534320e-11,
1.201201e-02,2.196018e-07,6.102980e-01,2.195621e-07,4.074069e-01,6.213515e+01,4.073603e-01,2.195620e-07,5.270719e-01,2.196061e-07,5.020149e-11,7.981538e-05,6.831191e-12,1.232937e-06,6.010188e-27,7.454095e-07,7.408838e-12,7.731211e-03,1.670646e-11,
1.251251e-02,2.196013e-07,6.101678e-01,2.195620e-07,4.074109e-01,6.213515e+01,4.073604e-01,2.195619e-07,5.206813e-01,2.196059e-07,5.447232e-11,8.658713e-05,7.412331e-12,1.337835e-06,6.010188e-27,8.088213e-07,8.039118e-12,8.288505e-03,1.812775e-11,
1.301301e-02,2.196007e-07,6.100320e-01,2.195619e-07,4.074151e-01,6.213515e+01,4.073604e-01,2.195618e-07,5.141513e-01,2.196057e-07,5.891751e-11,9.363223e-05,8.017192e-12,1.447018e-06,6.010188e-27,8.748213e-07,8.695127e-12,8.853881e-03,1.960705e-11,
1.351351e-02,2.196001e-07,6.098906e-01,2.195618e-07,4.074194e-01,6.213515e+01,4.073605e-01,2.195617e-07,5.074932e-01,2.196055e-07,6.353706e-11,1.009503e-04,8.645776e-12,1.560484e-06,6.010188e-27,9.434096e-07,9.376865e-12,9.426023e-03,2.114439e-11,
1.401401e-02,2.195995e-07,6.097435e-01,2.195617e-07,4.074239e-01,6.213515e+01,4.073605e-01,2.195617e-07,5.007183e-01,2.196053e-07,6.833097e-11,1.085409e-04,9.298083e-12,1.678235e-06,6.010188e-27,1.014586e-06,1.008433e-11,1.000363e-02,2.273975e-11,
