0.01,5.5556e+06,-0.017534,1.5915e+10,-155.51
0.010163,5.5556e+06,-0.01782,1.5807e+10,-155.3
0.010328,5.5556e+06,-0.018109,1.5697e+10,-155.1
0.010496,5.5556e+06,-0.018404,1.5586e+10,-154.9
0.010667,5.5556e+06,-0.018703,1.5474e+10,-154.7
0.01084,5.5556e+06,-0.019008,1.5361e+10,-154.51
0.011016,5.5556e+06,-0.019317,1.5246e+10,-154.32
0.011196,5.5556e+06,-0.019631,1.5131e+10,-154.14
0.011378,5.5556e+06,-0.01995,1.5014e+10,-153.95
0.011563,5.5556e+06,-0.020275,1.4896e+10,-153.77
0.011751,5.5556e+06,-0.020604,1.4777e+10,-153.6
0.011942,5.5556e+06,-0.02094,1.4657e+10,-153.43
0.012136,5.5556e+06,-0.02128,1.4536e+10,-153.27
0.012334,5.5556e+06,-0.021626,1.4414e+10,-153.11
0.012534,5.5556e+06,-0.021978,1.4291e+10,-152.95
0.012738,5.5556e+06,-0.022336,1.4167e+10,-152.8
0.012945,5.5556e+06,-0.022699,1.4043e+10,-152.66
0.013156,5.5556e+06,-0.023068,1.3917e+10,-152.52
0.01337,5.5556e+06,-0.023443,1.3791e+10,-152.38
0.013587,5.5556e+06,-0.023825,1.3664e+10,-152.26
0.013808,5.5556e+06,-0.024212,1.3537e+10,-152.14
0.014033,5.5556e+06,-0.024606,1.3409e+10,-152.02
0.014261,5.5556e+06,-0.025006,1.328e+10,-151.91
0.014493,5.5556e+06,-0.025413,1.3151e+10,-151.81
0.014729,5.5556e+06,-0.025826,1.3022e+10,-151.72
0.014968,5.5556e+06,-0.026246,1.2892e+10,-151.63
0.015212,5.5556e+06,-0.026673,1.2761e+10,-151.55
0.015459,5.5556e+06,-0.027107,1.2631e+10,-151.48
0.015711,5.5556e+06,-0.027548,1.25e+10,-151.41
0.015966,5.5556e+06,-0.027996,1.2368e+10,-151.35
0.016226,5.5556e+06,-0.028451,1.2237e+10,-151.31
0.01649,5.5556e+06,-0.028914,1.2105e+10,-151.26
0.016758,5.5556e+06,-0.029384,1.1974e+10,-151.23
0.017031,5.5556e+06,-0.029862,1.1842e+10,-151.21
0.017308,5.5556e+06,-0.030348,1.1711e+10,-151.19
0.017589,5.5556e+06,-0.030842,1.1579e+10,-151.19
0.017875,5.5556e+06,-0.031343,1.1447e+10,-151.19
0.018166,5.5556e+06,-0.031853,1.1316e+10,-151.2
0.018461,5.5556e+06,-0.032371,1.1185e+10,-151.22
0.018762,5.5556e+06,-0.032898,1.1054e+10,-151.25
0.019067,5.5556e+06,-0.033433,1.0923e+10,-151.29
0.019377,5.5556e+06,-0.033977,1.0792e+10,-151.34
0.019692,5.5556e+06,-0.034529,1.0662e+10,-151.41
0.020012,5.5556e+06,-0.035091,1.0532e+10,-151.48
0.020338,5.5556e+06,-0.035662,1.0403e+10,-151.56
0.020669,5.5556e+06,-0.036242,1.0274e+10,-151.65
0.021005,5.5556e+06,-0.036831,1.0146e+10,-151.75
0.021347,5.5556e+06,-0.03743,1.0018e+10,-151.86
0.021694,5.5556e+06,-0.038039,9.8904e+09,-151.99
0.022047,5.5556e+06,-0.038658,9.7637e+09,-152.12
0.022405,5.5556e+06,-0.039286,9.6375e+09,-152.27
0.02277,5.5556e+06,-0.039925,9.512e+09,-152.43
0.02314,5.5556e+06,-0.040575,9.3871e+09,-152.6
0.023516,5.5556e+06,-0.041235,9.263e+09,-152.78
0.023899,5.5556e+06,-0.041905,9.1396e+09,-152.97
0.024288,5.5556e+06,-0.042587,9.017e+09,-153.17
0.024683,5.5556e+06,-0.04328,8.8951e+09,-153.39
0.025084,5.5556e+06,-0.043984,8.774e+09,-153.62
0.025492,5.5556e+06,-0.044699,8.6538e+09,-153.86
0.025907,5.5556e+06,-0.045426,8.5344e+09,-154.11
0.026328,5.5556e+06,-0.046165,8.416e+09,-154.37
0.026756,5.5556e+06,-0.046916,8.2983e+09,-154.65
0.027192,5.5556e+06,-0.047679,8.1817e+09,-154.94
0.027634,5.5556e+06,-0.048454,8.0659e+09,-155.24
0.028083,5.5556e+06,-0.049242,7.9511e+09,-155.56
0.02854,5.5556e+06,-0.050043,7.8372e+09,-155.89
0.029004,5.5556e+06,-0.050857,7.7243e+09,-156.23
0.029476,5.5556e+06,-0.051685,7.6125e+09,-156.58
0.029955,5.5556e+06,-0.052525,7.5016e+09,-156.95
0.030443,5.5556e+06,-0.05338,7.3917e+09,-157.33
0.030938,5.5556e+06,-0.054248,7.2829e+09,-157.72
0.031441,5.5556e+06,-0.05513,7.175e+09,-158.13
0.031952,5.5556e+06,-0.056027,7.0683e+09,-158.55
0.032472,5.5556e+06,-0.056938,6.9626e+09,-158.99
0.033,5.5556e+06,-0.057864,6.8579e+09,-159.43
0.033537,5.5556e+06,-0.058805,6.7544e+09,-159.89
0.034083,5.5556e+06,-0.059762,6.6519e+09,-160.37
0.034637,5.5556e+06,-0.060734,6.5504e+09,-160.86
0.0352,5.5556e+06,-0.061722,6.4501e+09,-161.36
0.035773,5.5556e+06,-0.062726,6.3509e+09,-161.88
0.036355,5.5556e+06,-0.063746,6.2527e+09,-162.41
0.036946,5.5556e+06,-0.064783,6.1557e+09,-162.95
0.037547,5.5556e+06,-0.065836,6.0597e+09,-163.51
0.038158,5.5556e+06,-0.066907,5.9649e+09,-164.08
0.038778,5.5556e+06,-0.067995,5.8711e+09,-164.67
0.039409,5.5556e+06,-0.069101,5.7785e+09,-165.27
0.04005,5.5556e+06,-0.070225,5.6869e+09,-165.88
