# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-four
# Plot type:     Coherence
# Output Format: XY  
# Channels:            A                        B                Conversion
# Column 1   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_FOUR_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
0.1          0.40807024   0.17179151   0.41449842   0.96113259  
1.1          0.29197866   0.062373556  0.26490745   0.99562418  
2.0999999    0.045816604  0.051844563  0.19653893   0.99308133  
3.0999999    0.17670389   0.11050174   0.28127095   0.9967649   
4.0999999    0.037680674  0.29176095   0.10658206   0.99712169  
5.0999999    0.22991982   0.19210012   0.010601741  0.99820143  
6.0999999    0.069966607  0.027649678  0.0014822398 0.99772525  
7.0999999    0.12211164   0.065869823  0.080723912  0.99878681  
8.1000004    0.035335176  0.19263582   0.034235943  0.99631715  
9.1000004    0.0033492115 0.055525322  0.10107274   0.99892294  
10.1         0.1033726    0.065126941  0.29868749   0.99814451  
11.1         0.17776266   0.37139568   0.059835322  0.99857217  
12.1         0.12403345   0.25345525   0.062303945  0.99937445  
13.1         0.039971806  0.015257401  0.14143135   0.99910086  
14.1         0.018065594  0.077720471  0.044317119  0.99894679  
15.1         0.010772531  0.35173085   0.0078102723 0.99888581  
16.1         0.072665453  0.38499701   0.17104381   0.99894327  
17.1         0.039641503  0.056967273  0.045224704  0.99946713  
18.1         0.050236698  0.00061087066 0.1261863    0.99900603  
19.1         0.078521892  0.0073572174 0.32908294   0.99884939  
20.1         0.044946022  0.02312943   0.11921332   0.99946904  
21.1         0.15114385   0.053204518  0.0117932    0.99946117  
22.1         0.058262739  0.10367516   0.079864413  0.99954408  
23.1         0.0034014848 0.34349662   0.015133932  0.99905992  
24.1         0.020623572  0.044656016  0.014253307  0.99948269  
25.1         0.015212946  0.0054089911 0.095067382  0.99967706  
26.1         0.13531165   0.12309436   0.059553355  0.99974024  
27.1         0.045347642  0.0088635311 0.014449317  0.99950826  
28.1         0.02239085   0.04870728   0.119195     0.99938947  
29.1         0.056257319  0.033633135  0.084854454  0.99955112  
30.1         0.10903882   0.17986922   0.066604063  0.99956483  
31.1         0.22891267   0.070281155  0.017711537  0.99967951  
32.099998    0.056554213  0.067817353  0.096577801  0.999906    
33.099998    0.027424254  0.24132603   0.017723026  0.99964076  
34.099998    0.1798799    0.0086221313 0.17690812   0.99988687  
35.099998    0.23281433   0.13424236   0.31608769   0.99946898  
36.099998    0.13001022   0.0022530188 0.15227401   0.99974102  
37.099998    0.03505221   0.093541473  0.09802229   0.99986029  
38.099998    0.033197086  0.0099819619 0.087565631  0.99990344  
39.099998    0.096341051  0.24301079   0.20683308   0.99985987  
40.099998    0.011706461  0.25923985   0.099436559  0.99982065  
41.099998    0.38118505   0.070916712  0.025040165  0.9998607   
42.099998    0.30146599   0.06565094   0.15249287   0.99987519  
43.099998    0.23118314   0.2643041    0.070548542  0.99990398  
44.099998    0.16388728   0.035834588  0.060462058  0.99989325  
45.099998    0.052165721  0.046425421  0.088519342  0.99987841  
46.099998    0.098310754  0.21809667   0.13447201   0.99991351  
47.099998    0.17462051   0.12194702   0.045882393  0.9999209   
48.099998    0.078814447  0.1249182    0.15949346   0.99993438  
49.099998    0.1160135    0.1052889    0.079423122  0.99995643  
50.099998    0.091828994  0.023955081  0.051725291  0.9999544   
51.099998    0.0031082772 0.029151715  0.078060627  0.99995303  
52.099998    0.029746648  0.021673311  0.19114335   0.99995279  
53.099998    0.10893916   0.19219589   0.19310711   0.99988282  
54.099998    0.1061162    0.17603499   0.12064392   0.99992561  
55.099998    0.072486222  0.1966905    0.0360086    0.99996459  
56.099998    0.014254147  0.12927726   0.00094086706 0.99995965  
57.099998    0.045210734  0.16831516   0.10605653   0.99995971  
58.099998    0.11198183   0.040521473  0.11658277   0.99994296  
59.099998    0.038102444  0.025624106  0.036898762  0.99994904  
60.099998    0.14091903   0.025794379  0.0095767099 0.99995852  
61.099998    0.076047972  0.14423034   0.10307244   0.99990875  
62.099998    0.14447768   0.055254012  0.01396717   0.99993956  
63.099998    0.11424778   0.38376227   0.025372893  0.99997908  
64.099998    0.045596428  0.17225005   0.024216676  0.99994063  
65.099998    0.18355773   0.078748591  0.042714868  0.99995869  
66.099998    0.06869629   0.05982136   0.30932605   0.9999696   
67.099998    0.010919482  0.033049535  0.077612877  0.99996382  
68.099998    0.0039403373 0.16672575   0.25486887   0.99997437  
69.099998    0.075503886  0.076238982  0.10843381   0.99997228  
