"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
1.3470275 9.1880787E-019 2.6691378E-018 8.6877495E-019
1.3511708 1.0987428E-018 2.6136391E-018 1.0128808E-018
1.3553268 1.4963826E-018 2.5597915E-018 1.2918467E-018
1.3594956 1.9920455E-018 2.5075348E-018 1.5597598E-018
1.3636772 2.4844614E-018 2.4568128E-018 1.7469222E-018
1.3678716 2.1360576E-018 2.4075679E-018 1.5978278E-018
1.372079 1.401364E-018 2.3597366E-018 1.2049089E-018
1.3762993 6.7145075E-019 2.3132575E-018 6.4483565E-019
1.3805326 3.8405598E-019 2.2680758E-018 3.786656E-019
1.384779 3.0344346E-019 2.2241514E-018 3.0065822E-019
1.3890384 2.233666E-019 2.181438E-018 2.2220477E-019
1.3933108 1.7798846E-019 2.1398905E-018 1.7737594E-019
1.3975965 1.4910954E-019 2.0994656E-018 1.4873489E-019
1.4018953 1.2038518E-019 2.0601246E-018 1.2018016E-019
1.4062073 1.0159267E-019 2.0218325E-018 1.0146466E-019
1.4105326 8.7565594E-020 1.9845556E-018 8.7480478E-020
1.4148712 7.3615622E-020 1.9482598E-018 7.3563127E-020
1.4192231 6.3765484E-020 1.9129085E-018 6.3730086E-020
1.4235885 5.5906378E-020 1.8784735E-018 5.5881635E-020
1.4279672 4.8091708E-020 1.8449288E-018 4.8075377E-020
1.4323594 4.2306449E-020 1.8122475E-018 4.2294925E-020
1.4367652 3.7518368E-020 1.7803953E-018 3.751004E-020
1.4411845 3.275817E-020 1.7493489E-018 3.2752428E-020
1.4456173 2.9118917E-020 1.7190877E-018 2.9114741E-020
1.4500639 2.6036792E-020 1.6895905E-018 2.6033701E-020
1.4545241 2.2973177E-020 1.6608254E-018 2.297098E-020
1.458998 2.0566034E-020 1.6327727E-018 2.0564403E-020
1.4634856 1.8472156E-020 1.6054159E-018 1.8470933E-020
1.4679871 1.6397832E-020 1.5787382E-018 1.6396948E-020
1.4725024 1.474503E-020 1.5527106E-018 1.4744365E-020
1.4770316 1.3308078E-020 1.5273154E-018 1.3307572E-020
