Low frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),Mid frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),High frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),
8.000000e+00,4.154998e-08,8.848018e-08,2.109938e-07,1.280000e+02,9.427897e-09,5.836075e-08,2.014193e-07,4.096000e+03,8.176243e-09,6.665804e-08,1.475349e-07,
8.250000e+00,3.332791e-08,9.018076e-08,1.872027e-07,1.320000e+02,9.918667e-09,5.787999e-08,2.112676e-07,4.224000e+03,8.250188e-09,6.637074e-08,1.758361e-07,
8.500000e+00,3.757832e-08,1.054831e-07,1.544899e-07,1.360000e+02,9.960639e-09,5.927844e-08,2.131764e-07,4.352000e+03,8.381886e-09,6.730366e-08,2.021477e-07,
8.750000e+00,3.772425e-08,1.095091e-07,1.593820e-07,1.400000e+02,9.494692e-09,6.718354e-08,2.177537e-07,4.480000e+03,8.330032e-09,6.693637e-08,1.945260e-07,
9.000000e+00,3.422960e-08,9.607190e-08,1.877554e-07,1.440000e+02,1.156433e-08,1.199883e-07,2.334558e-07,4.608000e+03,8.161193e-09,6.590158e-08,1.610493e-07,
9.250000e+00,3.181257e-08,8.639187e-08,2.106154e-07,1.480000e+02,1.858543e-08,2.249824e-07,2.925287e-07,4.736000e+03,8.056317e-09,6.509407e-08,1.326691e-07,
9.500000e+00,2.981091e-08,9.854578e-08,2.206884e-07,1.520000e+02,1.811698e-08,2.180324e-07,3.113118e-07,4.864000e+03,8.134838e-09,6.570369e-08,1.248545e-07,
9.750000e+00,3.289551e-08,1.083587e-07,2.246585e-07,1.560000e+02,1.019093e-08,1.086445e-07,3.045307e-07,4.992000e+03,8.192130e-09,6.655120e-08,1.253671e-07,
1.000000e+01,3.169664e-08,9.716550e-08,2.168225e-07,1.600000e+02,8.150018e-09,6.405913e-08,2.669209e-07,5.120000e+03,8.344495e-09,6.777127e-08,1.263156e-07,
1.025000e+01,2.989124e-08,9.509382e-08,2.021231e-07,1.640000e+02,9.240742e-09,6.214641e-08,2.027329e-07,5.248000e+03,8.422995e-09,6.773801e-08,1.240018e-07,
1.050000e+01,2.867474e-08,9.703832e-08,1.962568e-07,1.680000e+02,9.692587e-09,6.442549e-08,1.915295e-07,5.376000e+03,8.118687e-09,6.767052e-08,1.201566e-07,
1.075000e+01,3.595146e-08,8.305356e-08,2.166091e-07,1.720000e+02,9.329906e-09,6.463755e-08,2.080518e-07,5.504000e+03,8.107819e-09,6.638911e-08,1.171694e-07,
