Frequency,ESD,Coil,
1.365008e+00,0.000385149614155942839316-0.000395433836108943412811j,0.696193581488169788151765-0.919822952828355466792232j,
1.384016e+00,0.000926724896195894702611-0.000344223193277400920601j,0.810676055442017262642196-0.877015443434034147607292j,
1.403289e+00,0.001541045214936604974137-0.000168776101767835218790j,0.951494749256566740847063-0.795563267169384635835172j,
1.422830e+00,0.002186066652108995672643+0.000220141213548621445450j,1.105249718287724336462929-0.648633234319436646764245j,
1.442644e+00,0.002728761277029467195027+0.000902866448722385093843j,1.230810827957707020985367-0.412245186756711734510361j,
1.462733e+00,0.002942189283174383249847+0.001837874925169518443985j,1.258682266391258686155652-0.099775266535880591245444j,
1.483103e+00,0.002669303930336134125789+0.002765702740899364086430j,1.141225265193712035127760+0.209074573804043289948495j,
1.503755e+00,0.002031821479053687838634+0.003374677738037973155627j,0.916046238350972652497717+0.419330987966043899906055j,
1.524696e+00,0.001320713806103169076292+0.003579664843656631297020j,0.671940599444111330562635+0.505585825324906368294364j,
1.545928e+00,0.000731786241973090439451+0.003501642569995835375940j,0.468222138425838485531472+0.505158121497391698895285j,
1.567455e+00,0.000311013226742638349085+0.003287802227515469830760j,0.318445231074959700379168+0.463046390652041228719327j,
1.589283e+00,0.000031956207551620465922+0.003031292189151376520462j,0.214224487193112017591190+0.407595443413942715160658j,
1.611414e+00,-0.000145485214765469751891+0.002776418658099669058842j,0.143166404476692182834441+0.352203701270486613239541j,
1.633854e+00,-0.000254577845170351373724+0.002540129160898752565950j,0.095089715023738419219512+0.301905277780711356339083j,
1.656606e+00,-0.000318967225893044636995+0.002326697806489647600559j,0.062856859247582191896342+0.257817164980833457565979j,
1.679675e+00,-0.000354777038658526759889+0.002135227973912845293725j,0.041719153990733760795084+0.219344398057384815103887j,
1.703065e+00,-0.000373193042729848105128+0.001963161999189398480847j,0.028469752809032047163873+0.185100127240598349986911j,
1.726781e+00,-0.000382463710414569497791+0.001808097575626410732572j,0.020605051967284366415400+0.153244433804654578423765j,
1.750827e+00,-0.000388919749328922039703+0.001669199478450170007551j,0.015384236187103364837392+0.121827790310451683497561j,
1.775208e+00,-0.000396198383057767041914+0.001548300467491926530467j,0.009046427021395653592095+0.089914438760047024623567j,
1.799929e+00,-0.000402630653381885609318+0.001448418217634238900141j,-0.002217165095492127768056+0.059564603559023751588875j,
1.824993e+00,-0.000401782199203291445332+0.001368053682093034548878j,-0.018658606500598657468304+0.035421340337599610537112j,
1.850407e+00,-0.000389943675907038146862+0.001299301888287119526380j,-0.036169115604132898167400+0.019835530419373987448539j,
1.876175e+00,-0.000369859600855245655281+0.001234671363648844229222j,-0.050996310490352227129396+0.010809955231527708027772j,
1.902301e+00,-0.000346257883488263981143+0.001171259225244432062435j,-0.062338066300274913578150+0.005170434049766397394121j,
1.928792e+00,-0.000322327929741337106725+0.001108973990220005244670j,-0.071068576036276545626613+0.000823853345402980781487j,
1.955651e+00,-0.000299572782913221080919+0.001048341624023477582431j,-0.078344397545436136875985-0.003227106632054644718560j,
1.982884e+00,-0.000278578143563717745956+0.000989679925447957235807j,-0.085156903223547200654231-0.007415345602186484974538j,
2.010496e+00,-0.000259561503507206527055+0.000932969352859938823308j,-0.092352247316749555561266-0.011969828830241738271134j,
2.038493e+00,-0.000242655607237011311777+0.000877876408625071044840j,-0.100787101689067681853373-0.017098532170189213036382j,
2.066880e+00,-0.000228072438698480057379+0.000823731065539172577390j,-0.111556813479425434576520-0.023096635687536965636513j,
2.095662e+00,-0.000216276052766720979339+0.000769361707841564206913j,-0.126390222812925195894351-0.030460965451314121060777j,
2.124845e+00,-0.000208338162453649785623+0.000712602638413479313323j,-0.148539272862817040010697-0.040097258963883032623077j,
2.154435e+00,-0.000207002422009444175637+0.000648837367642029648127j,-0.185322201425116878104049-0.053791263297371626206367j,
2.184436e+00,-0.000221099773048957982296+0.000565746167461510804722j,-0.257797172483082592808756-0.075271844965023509965718j,
2.214855e+00,-0.000297419679562748080510+0.000415633521179016877847j,-0.460449704987599295336054-0.107348912781335750765699j,
2.245698e+00,-0.001491053622424418859810+0.000353804270263648960437j,-1.720774485355760052840424+1.041146446749541487619695j,
2.276970e+00,-0.000060973689914021610321+0.001025440954666039438878j,0.419805143574708994336220+0.371048604244982205280223j,
2.308678e+00,-0.000051738493789853602157+0.000775894825159112325533j,0.204815975099697428207790+0.146003651177736643029803j,
2.340827e+00,-0.000054358643810257306834+0.000680909947068338407619j,0.128109157895639397262144+0.088493301392824796902659j,
2.373424e+00,-0.000053472220431421114647+0.000622255843909393915533j,0.089790493651292851984280+0.062669365336810417543845j,
2.406475e+00,-0.000050646667142119077985+0.000578225583780728538685j,0.067060874134978548655184+0.047985056673001180715943j,
2.439986e+00,-0.000046899912004028997765+0.000541901493110630901734j,0.052147289886289104055006+0.038476762944541886835026j,
2.473964e+00,-0.000042761558670660174987+0.000510375025211263285037j,0.041695350022175690918314+0.031795872973235939085157j,
2.508415e+00,-0.000038514598690875674310+0.000482192548333418486740j,0.034023667907723487147109+0.026832936784132621621524j,
2.543346e+00,-0.000034315754767124619811+0.000456533875686352275808j,0.028197390849240198257286+0.022995743479439757772642j,
2.578763e+00,-0.000030253511873460505008+0.000432891865598913699268j,0.023655625960759627673946+0.019938987191829512374275j,
2.614673e+00,-0.000026377544974015898130+0.000410929414595417603472j,0.020041646486026888640541+0.017447356756117485265811j,
2.651084e+00,-0.000022714514652612779376+0.000390408877416573445087j,0.017117879139610766431323+0.015379316851286456771519j,
2.688001e+00,-0.000019276991491385599034+0.000371154392595605768772j,0.014720093160677119245583+0.013637769810044506405000j,
2.725433e+00,-0.000016068724266215296005+0.000353030459509364206647j,0.012731210458085825965036+0.012153713934901496512841j,
2.763385e+00,-0.000013087866703706899503+0.000335929101537191579768j,0.011065586667605946738502+0.010876642574412868566536j,
2.801867e+00,-0.000010329015417858960905+0.000319761825093993891193j,0.009659184330168494453384+0.009768646801358691830752j,
2.840884e+00,-0.000007784529955919251924+0.000304454386459970750747j,0.008463212947109088543640+0.008800653563072318233407j,
2.880444e+00,-0.000005445405324481263613+0.000289943270046017203406j,0.007439888146203230481768+0.007949946723714830520979j,
2.920556e+00,-0.000003301857898394351487+0.000276173247115769036897j,0.006559529510549678629761+0.007198486572806559596893j,
2.961225e+00,-0.000001343723321492204434+0.000263095637881365974377j,0.005798528729340168830220+0.006531741877344716604159j,
3.002462e+00,0.000000439271443679734605+0.000250667044419926061255j,0.005137898100348058105791+0.005937860011123749157114j,
3.044272e+00,0.000002057321804956127490+0.000238848406448125157291j,0.004562214832434199895950+0.005407065538396766367357j,
3.086665e+00,0.000003520418478557388448+0.000227604283555643305574j,0.004058840765545364270839+0.004931216552138773488723j,
3.129648e+00,0.000004838261886872187212+0.000216902299524834803234j,0.003617337240493481449050+0.004503472094264156927457j,
3.173230e+00,0.000006020205876207284324+0.000206712704698836213226j,0.003229020523665372330302+0.004118039191685658219344j,
