All measurements 3.8Vpp sine wave injections,,,,,,
TIME,700mHz 1,700mHz 2,900mHz 1,900mHz 2,1080mHz 1,1080mHz 2
-50,0.038,0.12,-0.063,-0.56,0.013,1.64
-49.99,0.001,0.16,-0.041,-0.72,-0.021,2
-49.98,-0.002,0.08,-0.04,-1.04,-0.031,2.2
-49.97,0.022,0.12,-0.069,-1.12,-0.004,2.36
-49.96,-0.021,0.08,-0.027,-1.36,-0.043,2.6
-49.95,0.029,0.12,-0.057,-1.52,0.012,2.8
-49.94,0.023,0.16,-0.072,-1.72,-0.025,2.92
-49.93,0.005,0.16,-0.076,-2,-0.032,3
-49.92,0.02,0.12,-0.067,-2.12,-0.017,3.32
-49.91,0.031,0.12,-0.086,-2.28,-0.027,3.48
-49.9,0.007,0.04,-0.045,-2.48,-0.084,3.6
-49.89,0.045,-0.04,-0.086,-2.48,-0.017,3.6
-49.88,0.004,-0.08,-0.078,-2.68,-0.061,3.8
-49.87,0.024,0.08,-0.081,-2.84,-0.055,3.8
-49.86,0.023,-0.04,-0.112,-2.92,-0.009,3.8
-49.85,0.013,-0.12,-0.109,-3,-0.071,3.92
-49.84,0.009,-0.16,-0.093,-3.28,-0.055,3.88
-49.83,0.034,-0.12,-0.133,-3.36,-0.048,4.08
-49.82,-0.006,-0.24,-0.113,-3.36,-0.133,3.88
-49.81,0.008,-0.28,-0.091,-3.48,-0.058,3.92
-49.8,0.028,-0.24,-0.124,-3.56,-0.095,3.88
-49.79,0.01,-0.36,-0.125,-3.64,-0.109,3.64
-49.78,0.01,-0.4,-0.127,-3.72,-0.035,3.64
-49.77,0.024,-0.48,-0.14,-3.68,-0.075,3.52
-49.76,-0.004,-0.48,-0.125,-3.72,-0.073,3.52
-49.75,0.049,-0.52,-0.11,-3.64,-0.047,3.36
-49.74,0.016,-0.6,-0.156,-3.68,-0.093,3.24
-49.73,0.013,-0.64,-0.088,-3.64,-0.087,3.04
-49.72,0.028,-0.8,-0.135,-3.68,-0.06,2.84
-49.71,0.001,-0.8,-0.115,-3.56,-0.115,2.68
-49.7,-0.003,-1,-0.119,-3.56,-0.048,2.48
-49.69,0.012,-0.92,-0.135,-3.44,-0.052,2.32
-49.68,-0.022,-1.04,-0.091,-3.28,-0.074,2.04
-49.67,0.006,-1.12,-0.1,-3.16,-0.044,1.84
-49.66,0.006,-1.12,-0.125,-3.12,-0.059,1.64
-49.65,-0.011,-1.28,-0.086,-3.04,-0.087,1.36
-49.64,0.007,-1.28,-0.075,-2.92,-0.051,0.96
-49.63,-0.003,-1.56,-0.096,-2.76,-0.075,0.8
-49.62,-0.028,-1.56,-0.083,-2.6,-0.055,0.6
-49.61,0.016,-1.64,-0.069,-2.48,-0.03,0.36
-49.6,0.016,-1.68,-0.106,-2.32,-0.03,0.08
-49.59,-0.018,-1.8,-0.037,-2.16,-0.055,-0.16
-49.58,0.025,-1.84,-0.071,-2,-0.011,-0.48
-49.57,-0.011,-1.92,-0.049,-1.88,-0.052,-0.68
-49.56,-0.016,-1.92,-0.031,-1.68,-0.061,-0.88
-49.55,0.014,-2.08,-0.03,-1.44,-0.024,-1.16
-49.54,-0.021,-2.16,-0.033,-1.28,-0.047,-1.4
-49.53,-0.004,-2.16,-0.012,-1.04,-0.029,-1.68
-49.52,-0.018,-2.2,-0.022,-0.92,0.005,-1.96
-49.51,0.012,-2.36,-0.001,-0.64,-0.03,-2.08
-49.5,0.006,-2.44,0.007,-0.48,0.012,-2.32
-49.49,0.007,-2.48,0.012,-0.24,0.004,-2.4
-49.48,-0.01,-2.56,0.024,0.04,-0.025,-2.64
-49.47,-0.003,-2.72,0.029,0.24,-0.015,-2.84
-49.46,0,-2.64,-0.002,0.36,-0.026,-3
-49.45,-0.039,-2.8,0.025,0.6,-0.039,-3.12
-49.44,0.025,-2.8,0.022,0.8,0.018,-3.24
-49.43,0.006,-2.84,0.008,1.04,-0.05,-3.32
-49.42,0,-2.92,0.02,1.32,-0.017,-3.48
-49.41,0.021,-2.92,0.018,1.44,0.025,-3.52
-49.4,0.024,-3.04,0.024,1.68,-0.026,-3.64
-49.39,0.015,-3.12,0.025,1.84,-0.035,-3.68
-49.38,0.043,-3.16,-0.01,2.04,0.004,-3.56
-49.37,0.005,-3.32,0.036,2.24,-0.066,-3.72
-49.36,0.029,-3.28,0.008,2.4,-0.017,-3.64
-49.35,0.06,-3.32,-0.003,2.52,0.003,-3.56
-49.34,0.039,-3.36,0.014,2.68,-0.042,-3.56
-49.33,0.046,-3.32,0.033,2.92,0.002,-3.52
-49.32,0.071,-3.32,-0.01,3.04,0.003,-3.4
-49.31,0.048,-3.4,0.038,3.08,-0.043,-3.24
-49.3,0.076,-3.44,0.002,3.36,-0.011,-3.2
-49.29,0.053,-3.44,-0.027,3.4,-0.05,-3.12
-49.28,0.038,-3.4,0.009,3.44,-0.042,-2.92
-49.27,0.078,-3.48,-0.027,3.56,-0.027,-2.76
-49.26,0.058,-3.48,-0.009,3.72,-0.039,-2.56
-49.25,0.059,-3.52,-0.026,3.64,-0.01,-2.44
-49.24,0.116,-3.44,-0.028,3.84,0.003,-2.24
-49.23,0.062,-3.52,0.009,3.76,-0.041,-2
-49.22,0.086,-3.52,-0.034,3.88,-0.024,-1.8
-49.21,0.108,-3.52,-0.054,3.84,0.004,-1.52
-49.2,0.097,-3.44,-0.027,3.96,-0.068,-1.36
-49.19,0.105,-3.32,-0.035,3.8,-0.042,-1.12
-49.18,0.112,-3.4,-0.028,3.92,-0.045,-0.92
-49.17,0.078,-3.4,-0.041,3.8,-0.05,-0.64
-49.16,0.123,-3.28,-0.04,3.8,-0.012,-0.36
-49.15,0.109,-3.28,-0.065,3.76,-0.035,-0.16
-49.14,0.088,-3.28,-0.04,3.8,-0.035,0.24
-49.13,0.131,-3.24,-0.082,3.68,-0.009,0.28
-49.12,0.102,-3.24,-0.062,3.48,-0.051,0.64
-49.11,0.107,-3.12,-0.071,3.48,-0.07,0.84
-49.1,0.136,-3.12,-0.074,3.36,0.003,1.12
-49.09,0.116,-3.04,-0.059,3.24,-0.074,1.4
-49.08,0.099,-3.08,-0.048,3.08,-0.028,1.6
-49.07,0.118,-2.88,-0.087,2.88,0.028,1.88
-49.06,0.105,-2.88,-0.051,2.8,-0.052,2.12
-49.05,0.12,-2.84,-0.063,2.6,-0.002,2.24
-49.04,0.136,-2.76,-0.06,2.56,-0.027,2.48
-49.03,0.104,-2.76,-0.068,2.44,-0.058,2.76
-49.02,0.133,-2.6,-0.048,2.16,-0.015,2.92
-49.01,0.13,-2.64,-0.066,1.96,-0.046,3.04
-49,0.084,-2.52,-0.038,1.72,-0.046,3.08
-48.99,0.11,-2.52,-0.065,1.6,0.013,3.44
-48.98,0.122,-2.28,-0.071,1.44,-0.017,3.48
-48.97,0.089,-2.28,-0.015,1.2,-0.052,3.6
-48.96,0.122,-2.28,-0.083,1.04,-0.005,3.68
-48.95,0.118,-2.24,-0.046,0.76,-0.076,3.72
-48.94,0.068,-2.08,-0.018,0.56,-0.025,3.76
-48.93,0.122,-1.96,-0.083,0.28,-0.019,3.84
-48.92,0.08,-1.96,-0.025,0.08,-0.062,4
-48.91,0.08,-1.92,-0.033,0,-0.016,3.96
-48.9,0.105,-1.88,-0.06,-0.24,-0.027,3.84
-48.89,0.081,-1.8,-0.005,-0.52,-0.042,3.96
-48.88,0.123,-1.56,-0.049,-0.72,-0.033,3.92
-48.87,0.112,-1.48,-0.06,-0.88,-0.058,3.8
-48.86,0.04,-1.48,-0.022,-1.16,-0.103,3.76
-48.85,0.105,-1.36,-0.081,-1.32,-0.027,3.64
-48.84,0.102,-1.4,-0.05,-1.48,-0.071,3.56
-48.83,0.059,-1.36,-0.032,-1.72,-0.074,3.36
-48.82,0.093,-1.24,-0.071,-1.88,-0.05,3.36
-48.81,0.071,-1.04,-0.006,-2,-0.041,3.12
-48.8,0.092,-1.08,-0.038,-2.2,-0.061,2.96
-48.79,0.12,-0.96,-0.064,-2.4,-0.045,2.76
-48.78,0.058,-0.92,-0.003,-2.52,-0.097,2.64
-48.77,0.089,-0.8,-0.064,-2.76,-0.084,2.32
-48.76,0.093,-0.76,-0.042,-2.84,-0.054,2.16
-48.75,0.054,-0.6,-0.012,-2.92,-0.112,2
-48.74,0.073,-0.64,-0.049,-3.12,-0.081,1.76
-48.73,0.066,-0.64,-0.046,-3.16,-0.049,1.48
-48.72,0.049,-0.52,-0.023,-3.28,-0.094,1.16
-48.71,0.045,-0.48,-0.067,-3.36,-0.06,0.96
-48.7,0.078,-0.36,-0.058,-3.4,-0.059,0.76
-48.69,0.051,-0.28,-0.018,-3.52,-0.114,0.52
-48.68,0.077,-0.32,-0.043,-3.56,-0.044,0.16
-48.67,0.061,-0.24,-0.023,-3.6,-0.072,0
-48.66,0.045,-0.16,-0.027,-3.64,-0.103,-0.28
-48.65,0.078,-0.12,-0.028,-3.64,-0.027,-0.56
-48.64,0.034,-0.04,-0.017,-3.64,-0.078,-0.72
-48.63,0.07,-0.04,-0.015,-3.64,-0.058,-1.08
-48.62,0.077,-0.12,-0.049,-3.64,-0.019,-1.24
-48.61,0.044,0.08,-0.009,-3.56,-0.074,-1.56
-48.6,0.075,0.04,-0.016,-3.48,-0.044,-1.72
-48.59,0.085,0.08,-0.009,-3.44,-0.025,-1.96
-48.58,0.026,0.04,0.033,-3.48,-0.081,-2.2
-48.57,0.055,0.08,0.008,-3.32,0.003,-2.4
-48.56,0.078,0.08,-0.002,-3.24,-0.031,-2.52
-48.55,0.025,0.12,0.041,-3.12,-0.04,-2.68
-48.54,0.064,0.12,-0.01,-3.12,0.01,-2.88
-48.53,0.078,0.2,0.003,-2.96,-0.027,-3.08
-48.52,0.05,0.12,0.053,-2.84,-0.023,-3.16
-48.51,0.073,0.16,0.001,-2.68,0.01,-3.2
-48.5,0.029,0.04,0.068,-2.48,-0.011,-3.4
-48.49,0.075,0.12,0.047,-2.36,-0.014,-3.44
-48.48,0.085,0.16,0.017,-2.24,0.022,-3.48
-48.47,0.053,0.08,0.059,-1.96,0.013,-3.56
-48.46,0.097,0.08,0.063,-1.88,0.004,-3.56
-48.45,0.079,0,0.009,-1.68,0.043,-3.64
-48.44,0.054,0.04,0.096,-1.48,0.004,-3.68
-48.43,0.116,0.04,0.046,-1.2,0.024,-3.56
-48.42,0.082,-0.04,0.069,-1.04,0.014,-3.64
-48.41,0.051,-0.12,0.118,-0.92,-0.003,-3.52
-48.4,0.089,-0.16,0.057,-0.6,0.032,-3.44
-48.39,0.097,-0.16,0.098,-0.44,0.037,-3.4
-48.38,0.085,-0.28,0.09,-0.2,0.02,-3.36
-48.37,0.116,-0.36,0.07,0,0.048,-3.12
-48.36,0.065,-0.36,0.109,0.12,0.037,-3
-48.35,0.097,-0.4,0.074,0.4,0.014,-2.84
-48.34,0.115,-0.44,0.078,0.56,0.053,-2.76
-48.33,0.085,-0.48,0.136,0.8,0.012,-2.56
-48.32,0.091,-0.6,0.078,0.96,-0.004,-2.4
-48.31,0.093,-0.64,0.06,1.32,0.025,-2.2
-48.3,0.1,-0.76,0.1,1.4,-0.01,-1.96
-48.29,0.109,-0.76,0.05,1.64,-0.013,-1.68
-48.28,0.109,-0.76,0.065,1.8,0.036,-1.56
-48.27,0.091,-0.92,0.093,2,-0.035,-1.24
-48.26,0.119,-0.88,0.051,2.24,0.013,-1.16
-48.25,0.073,-1.12,0.078,2.4,0.013,-0.8
-48.24,0.11,-1.16,0.062,2.48,-0.026,-0.6
-48.23,0.11,-1.32,0.059,2.76,0.014,-0.24
-48.22,0.072,-1.28,0.045,2.84,-0.031,-0.04
-48.21,0.099,-1.32,0.044,2.96,-0.026,0.24
-48.2,0.123,-1.44,0.029,3.12,-0.023,0.48
-48.19,0.081,-1.52,0.051,3.24,-0.036,0.76
-48.18,0.092,-1.52,0.027,3.4,-0.04,0.88
-48.17,0.1,-1.64,0.021,3.52,-0.019,1.32
-48.16,0.09,-1.68,0.015,3.56,-0.032,1.52
-48.15,0.092,-1.76,0.03,3.64,-0.029,1.72
-48.14,0.105,-1.92,-0.019,3.64,-0.038,1.88
-48.13,0.083,-2,0.012,3.76,-0.043,2.16
-48.12,0.105,-2,-0.017,3.8,-0.03,2.36
-48.11,0.088,-2.08,-0.017,3.92,-0.033,2.64
-48.1,0.077,-2.2,0.012,3.96,-0.041,2.84
-48.09,0.093,-2.32,-0.012,3.92,-0.025,2.96
-48.08,0.069,-2.32,-0.021,3.92,-0.025,3.16
-48.07,0.077,-2.44,0.001,3.92,-0.031,3.28
-48.06,0.121,-2.52,-0.039,3.84,-0.021,3.44
-48.05,0.068,-2.52,0.032,3.84,-0.041,3.52
-48.04,0.101,-2.64,-0.017,3.84,-0.037,3.6
-48.03,0.097,-2.72,-0.036,3.76,-0.023,3.8
-48.02,0.041,-2.8,0.023,3.6,-0.022,3.8
-48.01,0.057,-2.8,-0.01,3.56,-0.037,3.92
-48,0.075,-2.92,-0.039,3.4,-0.002,3.92
-47.99,0.019,-2.92,0.036,3.36,-0.012,3.96
-47.98,0.082,-3,-0.038,3.2,-0.013,4
-47.97,0.065,-3.12,0.007,3.16,-0.007,3.84
-47.96,0.059,-3.04,0.029,3.04,-0.005,3.8
-47.95,0.074,-3.16,-0.023,2.84,-0.007,3.88
-47.94,0.045,-3.2,0.014,2.68,-0.01,3.76
-47.93,0.04,-3.16,0.04,2.52,-0.03,3.64
-47.92,0.054,-3.24,-0.021,2.28,0.002,3.64
-47.91,-0.009,-3.4,0.055,2.16,0.007,3.52
-47.9,0.045,-3.4,0.031,2,-0.017,3.28
-47.89,0.035,-3.28,0.029,1.8,0.043,3.32
-47.88,-0.004,-3.28,0.066,1.64,-0.011,3.04
-47.87,0.048,-3.44,0.043,1.48,0.011,2.88
-47.86,0.008,-3.48,0.042,1.24,0.048,2.64
-47.85,-0.029,-3.36,0.075,1,-0.016,2.56
-47.84,0.025,-3.48,0.032,0.84,0.009,2.24
-47.83,0.012,-3.48,0.07,0.72,0.044,2.08
-47.82,-0.014,-3.44,0.082,0.4,0.013,1.76
-47.81,0.006,-3.52,0.057,0.16,0.035,1.6
-47.8,-0.017,-3.48,0.102,0,0.04,1.44
-47.79,-0.01,-3.4,0.08,-0.24,0.008,1.12
-47.78,-0.024,-3.48,0.071,-0.48,0.04,0.84
-47.77,-0.02,-3.4,0.088,-0.64,0.028,0.64
-47.76,-0.027,-3.44,0.08,-0.88,-0.016,0.4
-47.75,-0.028,-3.4,0.068,-1.16,0.031,0.08
-47.74,-0.034,-3.32,0.108,-1.32,0.008,-0.24
-47.73,0.003,-3.28,0.084,-1.52,0.01,-0.44
-47.72,-0.042,-3.28,0.08,-1.76,0.025,-0.68
-47.71,-0.037,-3.2,0.118,-1.88,0.003,-0.88
-47.7,-0.04,-3.28,0.114,-1.96,0.027,-1.16
-47.69,-0.038,-3.24,0.098,-2.28,0.017,-1.28
-47.68,-0.058,-3.16,0.126,-2.32,0.013,-1.68
-47.67,-0.022,-3.16,0.096,-2.56,0.028,-1.84
-47.66,-0.027,-3.04,0.097,-2.72,0.018,-2.08
-47.65,-0.042,-3.04,0.143,-2.8,0.003,-2.2
-47.64,-0.041,-2.88,0.073,-2.92,0.038,-2.52
-47.63,-0.035,-3,0.077,-3.04,0.024,-2.64
-47.62,-0.057,-2.76,0.125,-3.12,0.013,-2.88
-47.61,-0.025,-2.84,0.06,-3.36,0.008,-3
-47.6,-0.061,-2.76,0.14,-3.28,0.035,-3.08
-47.59,-0.04,-2.72,0.111,-3.44,0.009,-3.28
-47.58,-0.006,-2.64,0.068,-3.44,0.031,-3.36
-47.57,-0.046,-2.52,0.126,-3.52,0.024,-3.36
-47.56,-0.015,-2.44,0.068,-3.64,0.053,-3.44
-47.55,-0.014,-2.32,0.063,-3.68,0.013,-3.56
-47.54,-0.054,-2.28,0.13,-3.72,0.038,-3.56
-47.53,0.009,-2.24,0.064,-3.68,0.056,-3.64
-47.52,-0.011,-2.16,0.085,-3.64,0.05,-3.72
-47.51,-0.032,-2.16,0.129,-3.64,0.042,-3.64
-47.5,0.011,-1.92,0.073,-3.56,0.048,-3.64
-47.49,-0.014,-1.88,0.102,-3.56,0.075,-3.68
-47.48,-0.007,-1.8,0.104,-3.48,0.024,-3.48
-47.47,0.006,-1.76,0.061,-3.48,0.058,-3.44
-47.46,-0.026,-1.68,0.129,-3.48,0.079,-3.32
-47.45,-0.021,-1.68,0.103,-3.2,0.056,-3.24
-47.44,-0.006,-1.52,0.077,-3.08,0.08,-3.16
-47.43,-0.021,-1.36,0.147,-3.2,0.081,-3
-47.42,-0.003,-1.4,0.095,-2.96,0.1,-2.84
-47.41,-0.003,-1.32,0.1,-2.84,0.077,-2.64
-47.4,-0.026,-1.32,0.144,-2.72,0.082,-2.48
-47.39,0.008,-1.24,0.08,-2.44,0.083,-2.28
-47.38,-0.015,-1.12,0.111,-2.32,0.08,-2.08
-47.37,0.007,-1.08,0.121,-2.24,0.059,-1.88
-47.36,-0.002,-0.92,0.099,-2.08,0.109,-1.64
-47.35,-0.038,-0.84,0.115,-1.84,0.079,-1.4
-47.34,-0.004,-0.76,0.131,-1.68,0.088,-1.24
-47.33,-0.002,-0.72,0.103,-1.48,0.099,-1
-47.32,-0.017,-0.6,0.128,-1.32,0.092,-0.64
-47.31,-0.014,-0.64,0.127,-1.12,0.092,-0.44
-47.3,-0.021,-0.56,0.086,-0.88,0.077,-0.12
-47.29,-0.019,-0.44,0.143,-0.72,0.073,0.12
-47.28,0,-0.4,0.088,-0.4,0.078,0.32
-47.27,-0.02,-0.4,0.089,-0.28,0.092,0.52
-47.26,-0.035,-0.28,0.123,-0.04,0.084,0.8
-47.25,-0.001,-0.2,0.09,0.12,0.088,1.08
-47.24,-0.01,-0.24,0.07,0.4,0.08,1.32
-47.23,-0.027,-0.16,0.109,0.6,0.065,1.6
-47.22,-0.01,-0.16,0.073,0.76,0.072,1.8
-47.21,-0.017,-0.16,0.049,1.04,0.035,1.96
-47.2,-0.055,-0.08,0.117,1.24,0.03,2.28
-47.19,-0.02,-0.12,0.023,1.44,0.048,2.44
-47.18,-0.013,-0.04,0.072,1.64,0.014,2.72
-47.17,-0.013,0.08,0.072,1.88,0.062,2.88
-47.16,-0.016,0.16,0.015,2.04,0.038,3.08
-47.15,-0.013,0.12,0.08,2.16,0.037,3.2
-47.14,-0.034,0.16,0.052,2.36,0.043,3.4
-47.13,-0.027,0.08,0.025,2.52,0.033,3.36
-47.12,-0.053,0.08,0.086,2.8,0.008,3.6
-47.11,-0.014,0.2,0.017,2.92,0.015,3.76
-47.1,-0.045,0.04,0.019,3.04,-0.014,3.68
-47.09,-0.049,0.16,0.051,3.08,0.012,3.8
-47.08,-0.015,0.2,-0.008,3.24,0.029,3.88
-47.07,-0.024,0.12,0.006,3.28,0.033,3.88
-47.06,-0.067,0.08,0.048,3.48,0.029,3.88
-47.05,-0.04,0.16,-0.019,3.56,0.038,3.92
-47.04,-0.035,0.08,0.018,3.68,0.012,3.92
-47.03,-0.057,0,0.012,3.72,0.011,3.8
-47.02,-0.031,0,-0.025,3.8,0.01,3.8
-47.01,-0.039,0,0.015,3.76,-0.01,3.76
-47,-0.033,0,-0.026,3.8,0.003,3.6
-46.99,-0.043,-0.08,-0.013,3.88,0.028,3.52
-46.98,-0.066,-0.08,0.039,3.84,0.033,3.44
-46.97,-0.04,-0.16,-0.001,3.96,0.049,3.28
-46.96,-0.054,-0.16,0.014,3.92,0.002,3.04
-46.95,-0.097,-0.24,0.039,3.76,0.026,3
-46.94,-0.043,-0.36,-0.02,3.92,0.012,2.8
-46.93,-0.06,-0.36,0.019,3.76,0.018,2.68
-46.92,-0.087,-0.44,0.024,3.72,0.018,2.44
-46.91,-0.078,-0.48,-0.005,3.68,0.015,2.16
-46.9,-0.075,-0.48,0.051,3.56,0.05,1.96
-46.89,-0.1,-0.56,0.046,3.44,0.065,1.72
-46.88,-0.084,-0.6,0.013,3.4,0.072,1.56
-46.87,-0.121,-0.72,0.058,3.32,0.043,1.28
-46.86,-0.091,-0.72,0.039,3.12,0.058,1
-46.85,-0.091,-0.88,0.019,3,0.077,0.72
-46.84,-0.111,-0.84,0.067,2.88,0.038,0.52
-46.83,-0.093,-1,0.046,2.76,0.04,0.32
-46.82,-0.093,-1.12,0.029,2.56,0.064,-0.04
-46.81,-0.118,-1.2,0.085,2.4,0.06,-0.32
-46.8,-0.105,-1.2,0.049,2.16,0.088,-0.56
-46.79,-0.116,-1.32,0.066,2.04,0.08,-0.8
-46.78,-0.11,-1.36,0.085,1.88,0.065,-1.04
-46.77,-0.116,-1.4,0.064,1.68,0.081,-1.28
-46.76,-0.089,-1.48,0.089,1.44,0.044,-1.48
-46.75,-0.117,-1.6,0.102,1.32,0.05,-1.72
-46.74,-0.103,-1.72,0.081,0.92,0.076,-1.92
-46.73,-0.095,-1.72,0.11,0.88,0.024,-2.2
-46.72,-0.107,-1.8,0.107,0.56,0.068,-2.32
-46.71,-0.116,-1.88,0.1,0.4,0.087,-2.48
-46.7,-0.107,-2.04,0.116,0.24,0.061,-2.72
-46.69,-0.096,-2.08,0.102,0,0.068,-2.88
-46.68,-0.094,-2.16,0.09,-0.36,0.066,-2.92
-46.67,-0.104,-2.24,0.127,-0.44,0.049,-3.12
-46.66,-0.081,-2.28,0.076,-0.72,0.052,-3.16
-46.65,-0.077,-2.32,0.082,-0.88,0.024,-3.32
-46.64,-0.106,-2.52,0.111,-1.08,0.068,-3.48
-46.63,-0.102,-2.48,0.034,-1.32,0.057,-3.48
-46.62,-0.076,-2.6,0.089,-1.48,0.032,-3.56
-46.61,-0.073,-2.76,0.107,-1.6,0.065,-3.68
-46.6,-0.081,-2.68,0.043,-1.84,0.048,-3.68
-46.59,-0.069,-2.68,0.075,-2.04,0.009,-3.8
-46.58,-0.054,-2.8,0.103,-2.2,0.051,-3.56
-46.57,-0.083,-2.92,0.031,-2.32,0.05,-3.52
-46.56,-0.083,-2.92,0.075,-2.48,0.032,-3.56
-46.55,-0.065,-2.92,0.032,-2.64,0.039,-3.52
-46.54,-0.069,-3.04,0.018,-2.84,0.042,-3.36
-46.53,-0.063,-3.16,0.075,-2.96,0.041,-3.4
-46.52,-0.061,-3.16,0.011,-3.04,0.023,-3.12
-46.51,-0.052,-3.16,0.049,-3.24,0.008,-3.08
-46.5,-0.079,-3.12,0.073,-3.28,0.031,-2.96
-46.49,-0.05,-3.32,0.01,-3.4,0.001,-2.76
-46.48,-0.046,-3.24,0.033,-3.44,0.034,-2.6
-46.47,-0.06,-3.36,0.029,-3.6,0.028,-2.36
-46.46,-0.057,-3.4,-0.029,-3.52,0.029,-2.2
-46.45,-0.026,-3.32,0.021,-3.56,0.006,-2.04
-46.44,-0.031,-3.36,0,-3.68,0.027,-1.68
-46.43,-0.033,-3.36,-0.034,-3.68,0.036,-1.6
-46.42,-0.047,-3.48,0.017,-3.72,0.012,-1.32
-46.41,-0.001,-3.44,-0.006,-3.64,-0.006,-1.08
-46.4,-0.06,-3.52,-0.002,-3.64,0.038,-0.84
-46.39,-0.063,-3.44,0.016,-3.64,0.013,-0.56
-46.38,-0.053,-3.52,-0.037,-3.56,0.021,-0.32
-46.37,-0.022,-3.44,-0.027,-3.68,0.024,0
-46.36,-0.065,-3.4,0.014,-3.44,0.011,0.12
-46.35,-0.023,-3.48,-0.052,-3.32,0.013,0.44
-46.34,-0.045,-3.44,-0.001,-3.24,0.026,0.6
-46.33,-0.03,-3.32,0.022,-3.16,0.025,0.92
-46.32,-0.038,-3.44,-0.032,-3.16,0.055,1.12
-46.31,-0.034,-3.4,-0.014,-2.96,0.012,1.48
-46.3,-0.047,-3.32,-0.009,-2.84,0.039,1.68
-46.29,-0.038,-3.32,-0.044,-2.64,0.036,1.96
-46.28,-0.064,-3.2,-0.044,-2.52,0.009,2.08
-46.27,-0.012,-3.2,-0.026,-2.4,-0.013,2.36
-46.26,-0.064,-3.16,-0.046,-2.28,0.021,2.52
-46.25,-0.054,-3.2,-0.007,-2,0.002,2.84
-46.24,-0.03,-3.08,-0.062,-1.88,0.031,2.92
-46.23,-0.067,-3.04,-0.029,-1.72,0.004,3.08
-46.22,-0.083,-3,-0.006,-1.56,0.019,3.32
-46.21,-0.028,-2.96,-0.06,-1.28,0.008,3.4
-46.2,-0.076,-2.96,-0.058,-1.08,-0.013,3.52
-46.19,-0.058,-2.84,-0.013,-0.92,-0.005,3.68
-46.18,-0.043,-2.76,-0.054,-0.72,0,3.76
-46.17,-0.042,-2.72,-0.015,-0.52,-0.02,3.76
-46.16,-0.038,-2.64,-0.019,-0.28,0.026,3.72
-46.15,-0.068,-2.6,-0.043,-0.04,-0.006,3.96
-46.14,-0.067,-2.6,-0.033,0.2,-0.012,3.88
-46.13,-0.049,-2.52,-0.035,0.4,-0.029,3.88
-46.12,-0.091,-2.36,-0.083,0.48,-0.026,3.92
-46.11,-0.068,-2.36,-0.018,0.8,-0.05,3.96
-46.1,-0.06,-2.24,-0.078,0.92,-0.049,3.92
-46.09,-0.096,-2.16,-0.054,1.24,-0.046,3.76
-46.08,-0.061,-2.04,-0.039,1.48,-0.015,3.72
-46.07,-0.066,-2.04,-0.084,1.6,-0.031,3.56
-46.06,-0.087,-1.92,-0.078,1.8,-0.026,3.52
-46.05,-0.083,-1.8,-0.048,2,-0.028,3.36
-46.04,-0.076,-1.8,-0.099,2.16,-0.064,3.16
-46.03,-0.091,-1.68,-0.054,2.32,-0.059,3.08
-46.02,-0.081,-1.6,-0.076,2.52,-0.035,2.88
-46.01,-0.083,-1.52,-0.093,2.68,-0.056,2.72
-46,-0.08,-1.4,-0.053,2.8,-0.067,2.48
-45.99,-0.104,-1.28,-0.073,3.04,-0.046,2.36
-45.98,-0.08,-1.32,-0.109,3.12,-0.04,2.08
-45.97,-0.102,-1.24,-0.087,3.16,-0.069,1.92
-45.96,-0.076,-1.16,-0.101,3.36,-0.073,1.64
-45.95,-0.116,-1.08,-0.107,3.48,-0.044,1.44
-45.94,-0.096,-1.04,-0.06,3.44,-0.074,1.24
-45.93,-0.09,-0.92,-0.103,3.6,-0.077,0.96
-45.92,-0.091,-0.84,-0.079,3.76,-0.03,0.64
-45.91,-0.087,-0.76,-0.064,3.68,-0.05,0.4
-45.9,-0.089,-0.68,-0.103,3.84,-0.031,0.16
-45.89,-0.103,-0.64,-0.068,3.8,-0.02,-0.08
-45.88,-0.089,-0.6,-0.078,3.84,-0.041,-0.36
-45.87,-0.106,-0.52,-0.097,3.96,-0.045,-0.64
-45.86,-0.09,-0.52,-0.013,3.88,-0.032,-0.84
-45.85,-0.095,-0.44,-0.044,4,-0.063,-1.12
-45.84,-0.073,-0.36,-0.052,3.92,-0.046,-1.32
-45.83,-0.084,-0.36,-0.014,3.8,-0.033,-1.6
-45.82,-0.061,-0.28,-0.045,3.68,-0.026,-1.76
-45.81,-0.082,-0.2,-0.062,3.6,-0.001,-1.96
-45.8,-0.087,-0.12,-0.016,3.68,-0.03,-2.2
-45.79,-0.072,-0.12,-0.038,3.56,-0.006,-2.4
-45.78,-0.09,-0.12,-0.014,3.52,-0.007,-2.64
-45.77,-0.089,-0.08,-0.011,3.32,-0.036,-2.76
-45.76,-0.062,-0.08,0.008,3.24,-0.014,-2.96
-45.75,-0.089,0.08,-0.011,3.2,0.011,-3.04
-45.74,-0.067,0.12,-0.003,3,0.005,-3.24
-45.73,-0.072,0.04,-0.044,2.88,0.005,-3.32
-45.72,-0.068,0.16,0.007,2.76,0.011,-3.4
-45.71,-0.068,0.08,0.004,2.56,0.001,-3.44
-45.7,-0.083,0.08,-0.018,2.44,0.009,-3.52
-45.69,-0.085,0.12,0.031,2.2,-0.004,-3.64
-45.68,-0.046,0.12,0.017,2,0.011,-3.68
