Frequency [Hz],Both dewhiteners magnitude,Both dewhiteners phase [deg],First dewhitener magnitude,First dewhitener phase [deg],Second dewhitener magnitude,Second dewhitener phase [deg],No dewhiteners magnitude,No dewhiteners phase [deg]
926,0.03587205,-62.604012,0.11288725,118.83822,0.11110331,118.97269,0.34946105,-59.674694
927,0.035876673,-62.681702,0.11291432,118.77859,0.11106351,118.82339,0.34932315,-59.762115
928,0.035928085,-62.820358,0.11293337,118.71179,0.11112693,118.68421,0.34944099,-59.826904
929,0.035931636,-62.803375,0.1129254,118.66158,0.11124592,118.64058,0.34947166,-59.866909
930,0.035879541,-62.722561,0.11290333,118.58855,0.11112136,118.56126,0.3495751,-59.934448
931,0.035925061,-62.784172,0.11293096,118.52881,0.11100325,118.62078,0.34951812,-59.993954
932,0.035951789,-62.983486,0.11294069,118.45384,0.11106591,118.58087,0.34945726,-60.083942
933,0.035893336,-63.171993,0.112955,118.39694,0.11111154,118.46159,0.34937766,-60.147301
934,0.035901215,-63.143219,0.11293198,118.33493,0.11116481,118.33218,0.34932011,-60.205284
935,0.035906523,-63.260735,0.11288846,118.27901,0.11104344,118.2569,0.34939656,-60.265583
936,0.0359377,-63.336639,0.112899,118.20743,0.11110462,118.19106,0.34930331,-60.326485
937,0.035962477,-63.415611,0.11290516,118.14678,0.11108452,118.07228,0.34932181,-60.382679
938,0.035953019,-63.327267,0.11287788,118.08591,0.1110049,118.02155,0.34936267,-60.452415
939,0.035882693,-63.43808,0.11287843,118.02515,0.11101123,118.05553,0.349388,-60.522846
940,0.035896238,-63.414536,0.1128986,117.9666,0.11092318,118.00555,0.34937158,-60.584625
941,0.035971057,-63.548279,0.11289963,117.90393,0.11103046,117.9289,0.34935936,-60.651749
942,0.036012977,-63.592522,0.11289432,117.85123,0.11117075,117.85748,0.3492893,-60.716351
943,0.035930529,-63.642696,0.11285939,117.78343,0.11114538,117.72442,0.34934896,-60.770256
944,0.03587573,-63.718391,0.1128829,117.70708,0.11111307,117.65929,0.34940115,-60.843758
945,0.035864744,-63.758102,0.11286601,117.64451,0.11107847,117.63024,0.34935799,-60.92535
946,0.035878386,-63.821945,0.11284272,117.5752,0.11105076,117.58946,0.34933138,-60.993633
947,0.035941061,-63.957901,0.11284583,117.52792,0.11102193,117.55129,0.34923616,-61.035603
948,0.035931252,-64.109337,0.11290029,117.46986,0.11082638,117.49549,0.34930131,-61.108601
949,0.035899397,-64.095909,0.11286652,117.41064,0.11094912,117.46223,0.34942994,-61.177181
950,0.035849545,-64.088547,0.11286249,117.33727,0.11108883,117.3391,0.34932205,-61.245708
951,0.035867169,-64.112434,0.11290961,117.25939,0.11114608,117.26418,0.3493402,-61.292797
952,0.035866413,-64.191734,0.11286362,117.19319,0.11108465,117.18272,0.3493053,-61.33913
953,0.035873536,-64.241386,0.11284298,117.14053,0.11107976,117.13907,0.3492336,-61.418259
954,0.035886418,-64.322121,0.11288244,117.07224,0.11103052,117.11698,0.34932363,-61.48579
955,0.035929807,-64.374939,0.112888,117.00278,0.11104711,117.03898,0.34929085,-61.556675
956,0.035900891,-64.399956,0.11285501,116.95449,0.11114565,116.9255,0.34923187,-61.61639
957,0.035892915,-64.488846,0.11284318,116.91214,0.11105152,116.86386,0.34911704,-61.680523
958,0.035880852,-64.583527,0.1128288,116.82678,0.11088916,116.82104,0.34924185,-61.752415
959,0.035897255,-64.693336,0.11285876,116.77202,0.11104942,116.79518,0.34942019,-61.820591
960,0.035938341,-64.764664,0.11285648,116.72032,0.11119771,116.65845,0.34934524,-61.886578
961,0.03592423,-64.852188,0.1128452,116.64152,0.11119954,116.57381,0.34938335,-61.941677
962,0.035872672,-64.853271,0.11283104,116.5732,0.1112294,116.57836,0.34938779,-61.993477
963,0.035879374,-64.826904,0.11284003,116.5278,0.11122639,116.58836,0.34935552,-62.074665
964,0.035903893,-64.890228,0.11286806,116.47322,0.11101398,116.4575,0.34939906,-62.146969
965,0.035866659,-65.060783,0.11287406,116.39523,0.11091921,116.44162,0.34928602,-62.203728
966,0.035887707,-65.179749,0.11284293,116.32214,0.11105844,116.35939,0.34921008,-62.252987
967,0.035906978,-65.168022,0.11283249,116.25501,0.11112982,116.23706,0.34921083,-62.326866
968,0.035938051,-65.067871,0.1128436,116.20826,0.1109134,116.26311,0.34930733,-62.391216
969,0.035912603,-65.223831,0.11284508,116.15007,0.11103025,116.16278,0.34933624,-62.456314
970,0.035896618,-65.407471,0.11285564,116.07952,0.11087275,116.04549,0.3491891,-62.519409
971,0.035894357,-65.457214,0.11287741,116.01424,0.11088014,116.05251,0.34923804,-62.587856
972,0.035901781,-65.458832,0.11283892,115.93841,0.11089792,116.05159,0.34928802,-62.637314
973,0.035845015,-65.482994,0.11282758,115.86937,0.11104189,115.87045,0.34928283,-62.694771
974,0.035920549,-65.527107,0.1128492,115.82422,0.11097766,115.75535,0.34927335,-62.777134
975,0.035897516,-65.527191,0.11286665,115.75625,0.11104636,115.76003,0.34934893,-62.842575
976,0.03584826,-65.645088,0.11284544,115.70273,0.11103806,115.74313,0.34935251,-62.907215
977,0.035880797,-65.692673,0.11282555,115.6446,0.11107971,115.69304,0.34925094,-62.964905
978,0.035895891,-65.799789,0.11279813,115.58446,0.11113428,115.57751,0.34920371,-63.030636
979,0.035863999,-65.820587,0.11278395,115.5145,0.11105184,115.52782,0.34925127,-63.091095
980,0.035875499,-65.973244,0.11281135,115.44334,0.11102221,115.40886,0.34920573,-63.150425
981,0.035880189,-66.067528,0.11282583,115.38541,0.11100209,115.35416,0.3491469,-63.215069
982,0.035889581,-66.081474,0.11280409,115.32045,0.11085475,115.32588,0.34918746,-63.283112
983,0.035878658,-66.136635,0.11284288,115.27103,0.11089155,115.28256,0.34908786,-63.336288
984,0.035848834,-66.245728,0.11283083,115.20363,0.11086839,115.21151,0.34913468,-63.410923
985,0.035899654,-66.237556,0.11278545,115.12415,0.11090961,115.13068,0.3491461,-63.477226
986,0.035921816,-66.255844,0.11282765,115.05624,0.11101051,115.06619,0.34914425,-63.560322
987,0.03589214,-66.405556,0.11280363,115.00586,0.11110532,114.96725,0.3490794,-63.620178
988,0.035917737,-66.370735,0.11281027,114.93967,0.11098793,114.93735,0.34908238,-63.660381
989,0.035906792,-66.430344,0.11283137,114.86707,0.11083943,114.89205,0.34909162,-63.732227
990,0.035887066,-66.583443,0.1128174,114.82376,0.11094747,114.79409,0.34915626,-63.807571
991,0.035861351,-66.624146,0.11278006,114.75544,0.11094006,114.71092,0.34911165,-63.875328
992,0.035854649,-66.659851,0.11278104,114.70412,0.11101036,114.66775,0.34902817,-63.931408
993,0.035923611,-66.698692,0.11283042,114.62262,0.11098132,114.58945,0.34909609,-63.974827
994,0.035904095,-66.769722,0.11279197,114.5486,0.11091948,114.48557,0.3490963,-64.04393
995,0.035906214,-66.781265,0.11277666,114.49046,0.11097556,114.4307,0.34897435,-64.129425
996,0.035867389,-66.823959,0.11279676,114.43049,0.11106016,114.35085,0.34897295,-64.19236
997,0.035819806,-66.861008,0.11280368,114.3634,0.11111747,114.30004,0.34905785,-64.253922
998,0.03586974,-66.993187,0.11280435,114.31334,0.11095197,114.29137,0.34898689,-64.321732
999,0.03588178,-67.150246,0.11278179,114.26144,0.11087075,114.22189,0.34903967,-64.386856
1000,0.035885949,-67.203186,0.11279973,114.2035,0.11093335,114.18581,0.34907138,-64.445221
1001,0.035874784,-67.231377,0.11282613,114.12363,0.11104045,114.09899,0.34910202,-64.532242
1002,0.035888776,-67.292366,0.11280081,114.07358,0.1111112,114.07552,0.34906089,-64.574028
1003,0.035883069,-67.347603,0.11276152,113.99931,0.1111559,114.06121,0.34895802,-64.650002
1004,0.035863265,-67.427292,0.11278437,113.93009,0.11107597,113.99251,0.34891245,-64.710495
1005,0.035896234,-67.496529,0.11275391,113.864,0.11102327,113.97911,0.34892991,-64.751427
1006,0.035871942,-67.579491,0.1127659,113.7896,0.11102208,113.87596,0.34899735,-64.813316
1007,0.035851452,-67.620087,0.11276392,113.74657,0.11095281,113.68633,0.34905341,-64.89547
1008,0.035883602,-67.675583,0.11275573,113.70325,0.11094034,113.62631,0.34909627,-64.983543
1009,0.035882406,-67.68808,0.11278751,113.61444,0.11100056,113.59367,0.34907147,-65.037102
1010,0.035858989,-67.753342,0.11275325,113.53852,0.11112668,113.45155,0.3489064,-65.06456
1011,0.03589702,-67.831718,0.11273737,113.49179,0.11107415,113.38006,0.34888664,-65.143471
1012,0.035869546,-67.858116,0.11277928,113.43541,0.11091928,113.42651,0.34889728,-65.229805
1013,0.035849568,-67.992485,0.1128047,113.35268,0.11089232,113.31387,0.34896338,-65.299042
1014,0.035879262,-68.026932,0.11277983,113.28071,0.11099777,113.2612,0.34896341,-65.354752
1015,0.035859209,-68.119934,0.11274313,113.23029,0.11101256,113.28477,0.34899813,-65.412163
1016,0.035867833,-68.161507,0.11275643,113.16433,0.11100452,113.18197,0.34894958,-65.487892
1017,0.035854246,-68.266945,0.11274353,113.11193,0.11106512,113.08752,0.34893581,-65.547943
1018,0.035867065,-68.329338,0.1127185,113.05292,0.11104309,113.06159,0.34904674,-65.611984
1019,0.035874002,-68.301361,0.11270574,112.9779,0.11103156,113.04427,0.3490189,-65.679947
1020,0.035933077,-68.360069,0.11270875,112.91098,0.11101858,112.89552,0.3489708,-65.723022
1021,0.035892226,-68.505829,0.11274318,112.86787,0.11097778,112.75283,0.34903622,-65.803947
1022,0.035847437,-68.592064,0.11274631,112.80607,0.11103872,112.71358,0.34902963,-65.864723
1023,0.03588067,-68.65506,0.11275817,112.71687,0.11113556,112.68652,0.34893104,-65.930649
1024,0.035894942,-68.666412,0.11276405,112.65576,0.11108988,112.62239,0.34891334,-66.00602
1025,0.035826955,-68.675568,0.11275326,112.60187,0.11102991,112.65871,0.3490175,-66.076546
1026,0.035800353,-68.701012,0.11275348,112.55671,0.11101081,112.66302,0.34895879,-66.148567
1027,0.035841566,-68.823433,0.11273492,112.49268,0.11099076,112.42163,0.34889045,-66.202568
1028,0.035833023,-68.942093,0.11274155,112.40624,0.11089585,112.33198,0.34883177,-66.250938
1029,0.035837103,-69.006378,0.11272648,112.34724,0.11074264,112.33952,0.34879977,-66.323395
1030,0.035837229,-69.16024,0.11270431,112.28531,0.1106713,112.28291,0.34888154,-66.391853
1031,0.035817493,-69.13118,0.11272623,112.21851,0.11066923,112.28337,0.3488178,-66.458641
1032,0.035856403,-69.14254,0.1127193,112.15735,0.11083204,112.12245,0.34877378,-66.515465
1033,0.035852317,-69.149185,0.11274549,112.1052,0.11095453,111.99775,0.34894609,-66.577271
1034,0.035860576,-69.309258,0.11274692,112.03349,0.1108899,111.97443,0.34899297,-66.655533
1035,0.035850499,-69.373711,0.1127109,111.97472,0.11099209,111.97311,0.34889194,-66.708435
1036,0.035825867,-69.489388,0.11270254,111.9016,0.11097553,111.94283,0.34890592,-66.761223
1037,0.035795063,-69.478027,0.11270038,111.83302,0.11093592,111.79993,0.34895065,-66.837433
1038,0.035810445,-69.592499,0.11270349,111.77728,0.11094072,111.80499,0.34881705,-66.920998
1039,0.035853989,-69.632668,0.11271856,111.70247,0.11092259,111.75282,0.34877837,-66.969238
1040,0.035881847,-69.694595,0.11270052,111.65999,0.11091595,111.55735,0.34879267,-67.021065
1041,0.035848986,-69.725754,0.11268835,111.58541,0.11076175,111.44492,0.34885731,-67.104958
1042,0.035859615,-69.764305,0.11270791,111.52085,0.11079121,111.45589,0.34887296,-67.159935
1043,0.03585805,-69.849007,0.11274374,111.45412,0.11080527,111.43497,0.34877497,-67.221268
1044,0.035831429,-69.88726,0.11269514,111.38992,0.11086333,111.40698,0.34882185,-67.288132
1045,0.03579675,-69.991753,0.11269205,111.34022,0.11090256,111.29837,0.34881428,-67.340302
1046,0.035822183,-70.084114,0.11268634,111.28382,0.11077192,111.2947,0.34873861,-67.401466
1047,0.035838515,-70.107018,0.11270174,111.20231,0.11081188,111.28674,0.34869748,-67.468933
1048,0.035842024,-70.215569,0.11270868,111.14274,0.11094631,111.18521,0.34890574,-67.527664
1049,0.035892911,-70.23558,0.11268258,111.09883,0.11087787,111.08343,0.34895566,-67.590164
1050,0.035876356,-70.227386,0.1127049,111.02282,0.11093993,111.0248,0.34894419,-67.664078
1051,0.035832345,-70.277756,0.11272144,110.95405,0.11088552,110.97357,0.3487508,-67.728012
1052,0.035834678,-70.363083,0.11271924,110.88237,0.11076605,110.95951,0.34879979,-67.785545
1053,0.035847675,-70.431328,0.11273672,110.80693,0.11091811,110.89166,0.34873331,-67.869171
1054,0.035875972,-70.566284,0.11270002,110.75347,0.11086532,110.73183,0.34862196,-67.931129
1055,0.035795812,-70.576996,0.11268546,110.70786,0.11088649,110.67216,0.3487106,-67.983932
1056,0.035812989,-70.579796,0.11267684,110.6366,0.11077477,110.644,0.34870252,-68.064476
1057,0.035781872,-70.743469,0.11266159,110.5747,0.11079697,110.53297,0.34873167,-68.137939
1058,0.035772022,-70.840775,0.11267267,110.52456,0.11105735,110.49002,0.34869054,-68.205399
1059,0.035817713,-70.817558,0.11266689,110.48053,0.11108901,110.44446,0.34879118,-68.274239
1060,0.035832934,-70.900902,0.11266869,110.41003,0.11077514,110.32667,0.34881803,-68.32119
1061,0.035800405,-71.046318,0.11265844,110.33199,0.110753,110.2397,0.34876421,-68.363564
1062,0.035806581,-71.126747,0.11269929,110.2612,0.11075224,110.20824,0.34864897,-68.449509
1063,0.035776574,-71.149742,0.11270896,110.21254,0.11075786,110.17556,0.3486073,-68.510002
1064,0.035766385,-71.141052,0.11268611,110.12913,0.11086811,110.11029,0.34861878,-68.565224
1065,0.035785116,-71.179985,0.11266234,110.05978,0.11079156,110.07597,0.34873116,-68.625862
1066,0.035866648,-71.308479,0.11268497,110.01127,0.11084146,110.02863,0.34876481,-68.690071
1067,0.035880685,-71.450775,0.11265675,109.95647,0.11090423,109.90495,0.34875202,-68.755211
1068,0.035848711,-71.421562,0.11267004,109.90035,0.11086597,109.78319,0.34856266,-68.829155
1069,0.035833199,-71.446831,0.11268378,109.82755,0.11083143,109.78249,0.34858119,-68.900871
1070,0.035862714,-71.565414,0.11269662,109.7601,0.11093366,109.69834,0.34868914,-68.959198
1071,0.035800084,-71.557877,0.1126744,109.69257,0.11091217,109.71255,0.34867761,-69.034416
1072,0.03585884,-71.632523,0.11268059,109.64608,0.11090929,109.73618,0.34862837,-69.109596
1073,0.035844382,-71.708992,0.11265789,109.57269,0.11103483,109.64175,0.34869659,-69.172203
1074,0.035815444,-71.748833,0.11264963,109.51105,0.11083019,109.53172,0.34864455,-69.216988
1075,0.035833292,-71.895454,0.11262074,109.45013,0.11093373,109.50816,0.34861463,-69.26667
1076,0.035794109,-71.939568,0.11261497,109.37038,0.11094778,109.29899,0.34860873,-69.33786
1077,0.035810828,-71.959763,0.1126439,109.32554,0.11086521,109.28534,0.34861556,-69.42411
1078,0.035832085,-72.077957,0.11265924,109.23066,0.11093338,109.22011,0.34858203,-69.471474
1079,0.035856448,-72.165672,0.11263205,109.18018,0.11079676,109.07463,0.34849852,-69.536728
1080,0.035831701,-72.165161,0.112624,109.12357,0.11076573,109.06213,0.34847897,-69.620026
1081,0.035838038,-72.180023,0.11262068,109.05367,0.11068739,109.10133,0.34851179,-69.662338
1082,0.035796579,-72.201454,0.11265037,109.01299,0.11061332,109.08395,0.34855738,-69.714996
1083,0.035763882,-72.253235,0.11260706,108.94214,0.11058614,108.91685,0.34851748,-69.795456
1084,0.035765141,-72.289276,0.11258038,108.86121,0.11084279,108.85921,0.3484464,-69.874557
1085,0.035792083,-72.434769,0.11259861,108.81306,0.11089187,108.94234,0.34851131,-69.93914
1086,0.035862844,-72.49044,0.11260454,108.74501,0.11097437,108.78741,0.34852803,-70.000969
1087,0.0358156,-72.539558,0.11262952,108.66575,0.11104669,108.7048,0.3485032,-70.076073
1088,0.035820786,-72.617111,0.11261971,108.63171,0.11089136,108.64027,0.3485629,-70.12648
1089,0.035841286,-72.684196,0.1126184,108.59126,0.11079457,108.54517,0.34856948,-70.193382
1090,0.035799284,-72.730904,0.11259476,108.5162,0.11078196,108.4754,0.34850138,-70.245598
1091,0.035767704,-72.824013,0.11260436,108.42783,0.11078218,108.46014,0.34852067,-70.303185
1092,0.035781126,-72.871231,0.11262356,108.36979,0.11083921,108.48142,0.34848312,-70.38176
1093,0.035750486,-72.949745,0.11264783,108.29446,0.11079562,108.28436,0.3485119,-70.44532
1094,0.035740711,-73.040459,0.11262348,108.22992,0.11082575,108.18627,0.34853855,-70.504486
1095,0.035771292,-73.090332,0.112564,108.18378,0.11086907,108.15902,0.34853426,-70.575249
1096,0.035831846,-73.133163,0.11260381,108.10429,0.11070357,108.11848,0.34860346,-70.639328
1097,0.03585517,-73.18383,0.11259936,108.0404,0.11074834,107.95337,0.34854981,-70.69265
1098,0.035769954,-73.340042,0.11259827,107.97784,0.11079711,107.8596,0.34856594,-70.756805
1099,0.035785194,-73.412987,0.11259396,107.91228,0.11076354,107.84621,0.34849828,-70.824959
1100,0.035820704,-73.381546,0.11259242,107.86628,0.1107037,107.89751,0.34841439,-70.902916
1101,0.035849169,-73.456657,0.11260643,107.78832,0.11077542,107.85057,0.34842062,-70.967674
1102,0.035819665,-73.507828,0.11261342,107.70422,0.11074337,107.82303,0.34849367,-71.016891
1103,0.035819963,-73.551353,0.11259318,107.64967,0.11073019,107.69984,0.34848499,-71.072464
1104,0.035817463,-73.567146,0.11260221,107.58824,0.11072585,107.61208,0.34849814,-71.160126
1105,0.035759952,-73.728188,0.11260124,107.52212,0.11061852,107.58689,0.3485111,-71.235451
1106,0.035810258,-73.753929,0.11259694,107.45984,0.11058051,107.46601,0.34843573,-71.26693
1107,0.035806708,-73.823563,0.11258964,107.41645,0.11052806,107.39795,0.34843543,-71.320694
1108,0.035785459,-73.848373,0.11259343,107.35596,0.11068663,107.37749,0.3484557,-71.383469
1109,0.035772502,-73.920677,0.11259037,107.2924,0.11073001,107.2726,0.34849656,-71.459145
1110,0.03577476,-73.889099,0.11255857,107.22583,0.11081548,107.21247,0.34845281,-71.536423
1111,0.035820309,-74.036423,0.11253265,107.14935,0.11080698,107.25449,0.34837314,-71.591797
1112,0.035824932,-74.185783,0.11255238,107.09979,0.11066607,107.15197,0.3483181,-71.676407
1113,0.035861973,-74.244438,0.11256739,107.0422,0.11078623,107.06677,0.34839126,-71.743988
1114,0.03582792,-74.238274,0.11255708,106.96463,0.11070754,106.99976,0.34845674,-71.792175
1115,0.035813995,-74.334328,0.11253031,106.89813,0.11067442,106.87688,0.34836966,-71.853577
1116,0.035800099,-74.423958,0.11256229,106.83828,0.11066729,106.86781,0.34835941,-71.905731
1117,0.035763107,-74.493317,0.11255987,106.78547,0.11066002,106.86059,0.34843531,-71.986458
1118,0.035813246,-74.538498,0.11252935,106.71227,0.11071312,106.68728,0.34840593,-72.053436
1119,0.035844225,-74.615067,0.11255723,106.64792,0.11074837,106.53618,0.34834599,-72.104652
1120,0.035801124,-74.608101,0.11256628,106.58881,0.1107053,106.501,0.34851947,-72.177711
1121,0.035842262,-74.621063,0.11252826,106.52505,0.11071235,106.51953,0.34842181,-72.242867
1122,0.035829976,-74.716606,0.11253109,106.45777,0.11073741,106.44357,0.34839892,-72.294411
1123,0.035819475,-74.813049,0.11251962,106.39803,0.11070625,106.29504,0.34839034,-72.364868
1124,0.035796307,-74.845352,0.11253148,106.32997,0.11056934,106.23347,0.34830961,-72.445572
1125,0.035753157,-74.929253,0.11255809,106.26929,0.11068034,106.22507,0.34829921,-72.499405
1126,0.035760421,-74.984062,0.11255655,106.21787,0.11090359,106.17725,0.34824353,-72.571724
1127,0.035816297,-75.155716,0.11254498,106.16061,0.11090028,106.14861,0.34814441,-72.621819
1128,0.035800003,-75.249626,0.11255905,106.08006,0.11089405,106.04871,0.34829673,-72.675171
1129,0.035819467,-75.303345,0.11254945,106.01397,0.11075433,106.05388,0.34833103,-72.741821
1130,0.035789605,-75.214211,0.1125435,105.95386,0.11075008,105.9447,0.34833589,-72.806206
1131,0.035798401,-75.24559,0.11250596,105.90981,0.11076656,105.89309,0.34836224,-72.884537
1132,0.035791785,-75.356377,0.11247603,105.83626,0.11077232,105.87943,0.34840879,-72.959816
1133,0.035819702,-75.507156,0.11248223,105.76258,0.11063589,105.769,0.34835139,-73.014641
1134,0.035756718,-75.58149,0.11251239,105.71139,0.11077627,105.64069,0.34838182,-73.080536
1135,0.035778426,-75.531921,0.11247902,105.66414,0.11082084,105.59626,0.34827831,-73.135887
1136,0.035773914,-75.574898,0.11250465,105.58045,0.11084944,105.51794,0.34829384,-73.192955
1137,0.035797834,-75.691132,0.11250931,105.52134,0.11091127,105.49605,0.34829348,-73.27124
1138,0.035812497,-75.779808,0.11252782,105.42653,0.11087306,105.42273,0.34816927,-73.354469
1139,0.035785366,-75.7705,0.11248291,105.3701,0.110649,105.34337,0.34812441,-73.410538
1140,0.035750944,-75.776398,0.11248246,105.30805,0.11059714,105.38235,0.34817886,-73.477432
1141,0.035786424,-75.928398,0.11247741,105.26289,0.11074644,105.25701,0.34819391,-73.536659
1142,0.035749372,-76.063622,0.11246253,105.18568,0.11071444,105.23122,0.34817842,-73.590042
1143,0.035774726,-76.097412,0.11249162,105.11861,0.11076626,105.13697,0.34817576,-73.647629
1144,0.035753161,-76.077621,0.11247177,105.05504,0.1109344,105.12229,0.34827584,-73.699837
1145,0.035781305,-76.112114,0.11250411,104.99574,0.11076448,105.07684,0.34835985,-73.771431
1146,0.035741605,-76.175545,0.1125211,104.92538,0.11064738,104.90831,0.34833112,-73.861626
1147,0.035737727,-76.33194,0.11248875,104.87469,0.11071227,104.77645,0.34818572,-73.935295
1148,0.035744343,-76.411316,0.11247972,104.8166,0.11064888,104.67293,0.34818205,-73.990837
1149,0.035733171,-76.474052,0.11247899,104.73232,0.11064526,104.74686,0.34819356,-74.040558
1150,0.035823777,-76.560036,0.11249066,104.66991,0.11057865,104.72697,0.34820449,-74.104301
1151,0.035841502,-76.524933,0.11246336,104.61038,0.11079222,104.57687,0.34812194,-74.180649
1152,0.035834588,-76.658157,0.11247621,104.56102,0.11090527,104.55332,0.3482163,-74.250099
1153,0.035827059,-76.698753,0.11247971,104.50367,0.11077978,104.52726,0.34825096,-74.318016
1154,0.035803691,-76.734291,0.11244186,104.45499,0.11074546,104.45744,0.3482134,-74.355576
1155,0.03574644,-76.858101,0.11243822,104.37603,0.11063517,104.29084,0.34809494,-74.432884
1156,0.035777431,-76.888489,0.11245242,104.29156,0.11058508,104.3256,0.3479659,-74.486977
1157,0.035802696,-76.906891,0.11243968,104.231,0.11085624,104.20945,0.34801698,-74.546059
1158,0.035781562,-76.950409,0.11246677,104.17822,0.11074805,104.127,0.3481594,-74.618973
1159,0.035749119,-76.955933,0.11248377,104.12895,0.11071029,104.07124,0.34821105,-74.700058
1160,0.035780389,-77.133598,0.11246809,104.06747,0.11072873,104.04856,0.34813276,-74.772568
1161,0.035841849,-77.217255,0.11246107,103.98364,0.11054583,104.03555,0.34807086,-74.836777
1162,0.035761379,-77.21981,0.11247022,103.90958,0.11055082,104.03024,0.34796432,-74.890038
1163,0.03571688,-77.356636,0.11245732,103.85873,0.11064014,103.89738,0.34807301,-74.959755
1164,0.035782151,-77.428696,0.11242716,103.82293,0.11053785,103.84109,0.3481465,-75.024712
1165,0.035766412,-77.446487,0.11242446,103.73151,0.1105012,103.80803,0.34810144,-75.077881
1166,0.035782967,-77.390396,0.11243195,103.66517,0.11069471,103.65131,0.34811094,-75.137856
1167,0.035815146,-77.499077,0.11242886,103.61027,0.11069026,103.62986,0.34807152,-75.21843
1168,0.0357798,-77.639076,0.11243714,103.53484,0.11056908,103.644,0.34794304,-75.27803
1169,0.035751641,-77.741646,0.11245763,103.47797,0.11048074,103.48176,0.34788388,-75.337402
1170,0.035749197,-77.780952,0.11247007,103.4268,0.11049499,103.32504,0.34797165,-75.407356
1171,0.035793938,-77.80368,0.11241977,103.35715,0.11069037,103.23669,0.34799317,-75.457466
1172,0.035807975,-77.819931,0.11240869,103.29559,0.11071033,103.28092,0.34800053,-75.519646
1173,0.035764694,-77.878235,0.11243311,103.22753,0.1107682,103.24801,0.34800217,-75.60894
1174,0.035754636,-78.004494,0.11243156,103.15917,0.11077456,103.12989,0.3479028,-75.660934
1175,0.035723794,-78.066498,0.11244342,103.09756,0.1104761,103.10757,0.34786022,-75.704659
1176,0.035736024,-78.20871,0.11242855,103.02071,0.11045796,103.11401,0.34798801,-75.779747
1177,0.035779931,-78.294823,0.1124368,102.95551,0.11054312,103.02541,0.34789103,-75.83754
1178,0.035760429,-78.272385,0.11239295,102.90928,0.11065673,102.88879,0.34789792,-75.911263
1179,0.035791095,-78.303406,0.11241754,102.84691,0.11079001,102.85238,0.34793133,-75.976074
1180,0.035781898,-78.358185,0.11241649,102.77923,0.11068523,102.84714,0.3479681,-76.046516
1181,0.035729408,-78.471069,0.11240739,102.72659,0.11074317,102.82935,0.34798387,-76.114113
1182,0.035752099,-78.622665,0.11245061,102.66074,0.11076522,102.67042,0.34792203,-76.17263
1183,0.035734463,-78.58094,0.11245646,102.58886,0.11070596,102.65838,0.3478663,-76.222572
1184,0.035730012,-78.619026,0.11243094,102.51106,0.1106986,102.61192,0.34792241,-76.29953
1185,0.035757728,-78.700905,0.11239981,102.45431,0.11074354,102.39869,0.34800622,-76.37104
1186,0.035715524,-78.715836,0.11240073,102.3955,0.11075874,102.36641,0.34810668,-76.428955
1187,0.035730325,-78.792252,0.11238749,102.34251,0.11059187,102.35033,0.34798592,-76.486847
1188,0.035750531,-78.860405,0.11237147,102.27227,0.11065189,102.30058,0.34795883,-76.579674
1189,0.035763577,-78.961739,0.11236724,102.20785,0.11051211,102.27647,0.34797466,-76.623848
1190,0.035802547,-79.040329,0.11239152,102.13554,0.11048239,102.13658,0.34798312,-76.694939
1191,0.035770457,-79.166031,0.11240471,102.08277,0.11050276,102.05927,0.34798405,-76.746994
1192,0.035740465,-79.230461,0.11239767,102.03093,0.11061168,102.03115,0.34791696,-76.819771
1193,0.035735101,-79.249237,0.11238512,101.98001,0.1107274,101.9285,0.34791622,-76.868187
1194,0.035723586,-79.326988,0.11240184,101.91386,0.11060076,101.8165,0.34798911,-76.921547
1195,0.035724863,-79.360573,0.11236403,101.86575,0.11056024,101.81396,0.34791213,-76.996811
1196,0.035719022,-79.386147,0.11236328,101.7834,0.11048644,101.71187,0.34787971,-77.065071
1197,0.035747044,-79.40181,0.11237332,101.7198,0.11053128,101.70507,0.34783947,-77.147293
1198,0.035788275,-79.534889,0.11237523,101.64008,0.11047727,101.68247,0.34785533,-77.193413
1199,0.035792854,-79.628654,0.11240366,101.57949,0.1104844,101.556,0.34779894,-77.251289
1200,0.035736546,-79.619156,0.11242106,101.51696,0.11072411,101.41644,0.34790528,-77.312881
1201,0.035685346,-79.641106,0.11237194,101.44611,0.1106739,101.44795,0.34801626,-77.381508
1202,0.035709426,-79.774063,0.11232679,101.38293,0.11059374,101.3987,0.34797198,-77.461143
1203,0.035682991,-79.689606,0.11238711,101.32828,0.11053968,101.37148,0.34787425,-77.5065
1204,0.035705246,-79.787849,0.11235359,101.27186,0.1104072,101.24776,0.34776163,-77.575134
1205,0.035739124,-79.822693,0.1123381,101.20232,0.11044143,101.14424,0.34777525,-77.630234
1206,0.035751183,-79.94915,0.11237326,101.13377,0.11049096,101.12009,0.34769979,-77.72406
1207,0.03575578,-80.025871,0.11237235,101.07265,0.11052204,101.06537,0.34775427,-77.779495
1208,0.03575664,-80.136795,0.11234857,101.00078,0.11073378,100.96239,0.34777406,-77.847542
1209,0.035740174,-80.274536,0.11232269,100.94823,0.11086671,100.82184,0.3476868,-77.923302
1210,0.035700548,-80.289192,0.11233188,100.87814,0.11046989,100.8119,0.34770438,-77.961067
