Frequency [Hz],Both dewhiteners magnitude,Both dewhiteners phase [deg],First dewhitener magnitude,First dewhitener phase [deg],Second dewhitener magnitude,Second dewhitener phase [deg],No dewhiteners magnitude,No dewhiteners phase [deg]
64,0.044913042,-40.648678,0.12664315,157.64961,0.12475605,157.5667,0.35213038,-4.1344681
65,0.044622496,-40.223053,0.12629297,157.78545,0.12436673,157.76266,0.35202083,-4.2063427
66,0.044378892,-39.883457,0.12593475,157.95711,0.12415557,157.82634,0.35200787,-4.2517238
67,0.044121522,-39.641087,0.12561563,158.10469,0.12377541,158.05334,0.35210326,-4.3233933
68,0.043909296,-39.24752,0.12532577,158.24814,0.12330588,158.2814,0.35211468,-4.4202089
69,0.043712784,-38.804283,0.12500452,158.37605,0.12314026,158.34099,0.35210714,-4.4640255
70,0.043487735,-38.512779,0.12468904,158.50784,0.1231168,158.5191,0.35199168,-4.5122271
71,0.043296009,-38.162041,0.12437667,158.64828,0.1226783,158.59702,0.35195178,-4.5790811
72,0.043119978,-37.919918,0.12413858,158.76265,0.12233625,158.73836,0.35196275,-4.6505718
73,0.042948484,-37.518562,0.12385742,158.90335,0.12214822,158.8338,0.3520492,-4.7022328
74,0.042763557,-37.17165,0.12363978,159.02113,0.12168846,158.93388,0.35213178,-4.7814388
75,0.042592157,-36.913837,0.12342819,159.12073,0.12142759,159.20401,0.35204908,-4.8453798
76,0.042419415,-36.573071,0.12310787,159.26599,0.12124182,159.22615,0.35182631,-4.9107876
77,0.042259037,-36.380722,0.12285295,159.35561,0.12119663,159.13771,0.35194844,-4.9730873
78,0.04214352,-36.133007,0.1226762,159.44888,0.12103961,159.34486,0.35206383,-5.0497599
79,0.042033046,-35.84391,0.12240761,159.56564,0.12077758,159.46185,0.35201892,-5.112195
80,0.041840307,-35.604843,0.12221385,159.66888,0.12035,159.54182,0.35204062,-5.1793804
81,0.041674685,-35.440407,0.12201134,159.7724,0.11994351,159.57452,0.35204417,-5.2281046
82,0.041570373,-35.125973,0.12185372,159.85815,0.11980077,159.71274,0.35197896,-5.2910933
83,0.041398447,-34.853508,0.12165621,159.94128,0.11952606,159.89069,0.35200301,-5.3673997
84,0.041271359,-34.598751,0.12148007,160.02394,0.11956053,159.96002,0.35208791,-5.4206557
85,0.041223995,-34.369797,0.12132003,160.10269,0.11948179,160.01721,0.35205385,-5.4947171
86,0.041078001,-34.172916,0.1211611,160.19731,0.11928752,160.0818,0.35201737,-5.5426688
87,0.040943086,-33.992397,0.12097302,160.27481,0.11902727,160.20038,0.3519927,-5.6046634
88,0.040791336,-33.717903,0.12082551,160.34985,0.11877994,160.26018,0.35199472,-5.6849651
89,0.040690579,-33.491756,0.12066407,160.40173,0.11874349,160.35637,0.35203227,-5.7516747
90,0.040611766,-33.285667,0.12049971,160.49257,0.11853561,160.48882,0.352009,-5.828403
91,0.040494043,-33.085163,0.12033698,160.55907,0.11852137,160.47798,0.35192284,-5.8861356
92,0.040441539,-32.758865,0.12024223,160.61946,0.11848957,160.51501,0.35199517,-5.9404211
93,0.040410891,-32.648018,0.12006719,160.69965,0.11826,160.6765,0.3520112,-5.9893894
94,0.040295109,-32.54575,0.11994871,160.758,0.11811307,160.84315,0.35204059,-6.0621953
95,0.040133722,-32.270145,0.11987182,160.8233,0.11790224,160.82027,0.35199013,-6.127347
96,0.040032137,-32.096821,0.11971057,160.87321,0.11790015,160.8786,0.35191986,-6.2008014
97,0.040015358,-31.953861,0.11959446,160.92386,0.11778811,160.89175,0.35194996,-6.2649031
98,0.039997816,-31.794407,0.11946386,160.97006,0.11787274,160.93877,0.35197383,-6.3318963
99,0.039928474,-31.6077,0.11937756,161.0323,0.11759614,161.01656,0.35201913,-6.3901663
100,0.039816804,-31.373539,0.11929415,161.07166,0.11744385,161.10284,0.35194325,-6.4544468
101,0.039789952,-31.29689,0.11913271,161.12949,0.11733188,161.08713,0.35204557,-6.5223298
102,0.039648537,-31.237432,0.11902831,161.18655,0.11733089,161.10397,0.35200846,-6.5776677
103,0.039529175,-31.024717,0.11898944,161.21167,0.11710172,161.20277,0.35199443,-6.6557746
104,0.039514482,-30.83812,0.11885872,161.23695,0.11701266,161.20206,0.35209122,-6.720736
105,0.039462071,-30.695805,0.11874957,161.27695,0.11691558,161.27583,0.35214838,-6.7662144
106,0.039403111,-30.562483,0.11864363,161.31343,0.11682916,161.35867,0.3521204,-6.8184705
107,0.039382741,-30.431366,0.11855128,161.3539,0.11669914,161.3401,0.35208836,-6.8957372
108,0.039305147,-30.347042,0.1184921,161.40097,0.11663616,161.34756,0.35207051,-6.9741149
109,0.03927163,-30.203627,0.11838281,161.44566,0.11643764,161.34148,0.35198292,-7.0295024
110,0.03926,-30.020544,0.11831755,161.4632,0.11645667,161.34456,0.3519623,-7.1080933
111,0.039164487,-29.953487,0.11823379,161.49944,0.11628495,161.38483,0.35199875,-7.1875968
112,0.039061077,-29.844744,0.11817314,161.52449,0.11641717,161.37314,0.35200128,-7.216167
113,0.038980875,-29.662392,0.11809965,161.52843,0.11633079,161.60477,0.35193899,-7.3084936
114,0.039016064,-29.530247,0.11801994,161.56961,0.11617225,161.66116,0.35200295,-7.3544421
115,0.038944297,-29.46434,0.11794255,161.60916,0.11601333,161.49959,0.35203233,-7.4020624
116,0.038869798,-29.349655,0.11785332,161.61461,0.11597101,161.46051,0.35195813,-7.4816976
117,0.038798284,-29.218939,0.11776214,161.64388,0.11584511,161.53238,0.35190323,-7.5433278
118,0.038767278,-29.088442,0.11774151,161.6651,0.11589283,161.59818,0.35195318,-7.6145058
119,0.038726654,-29.020679,0.11770055,161.68636,0.11589252,161.61154,0.35202336,-7.6876726
120,0.038682938,-28.826384,0.11762079,161.68877,0.11571395,161.6218,0.35198867,-7.7483621
121,0.038670458,-28.712473,0.11752738,161.7012,0.11556306,161.73087,0.35205159,-7.8096828
122,0.038621936,-28.711277,0.11746941,161.71704,0.11575216,161.66106,0.35202006,-7.8676467
123,0.038592894,-28.633764,0.11741484,161.72084,0.11555606,161.71611,0.35199243,-7.930161
124,0.038550571,-28.584646,0.11733723,161.73419,0.11545581,161.7332,0.35199839,-7.9904318
125,0.038485851,-28.495825,0.1173104,161.75772,0.11553417,161.78365,0.35193524,-8.0617275
126,0.038494293,-28.375479,0.11725536,161.77077,0.11551448,161.79015,0.35198188,-8.1179733
127,0.038473874,-28.280554,0.11720267,161.78111,0.11536257,161.82858,0.35207215,-8.1816196
128,0.038454596,-28.242441,0.11714611,161.80644,0.11522992,161.8054,0.35207015,-8.2377815
129,0.038384747,-28.122276,0.11706094,161.82101,0.11504236,161.70004,0.35203531,-8.3294353
130,0.038358834,-28.117203,0.1169806,161.81538,0.11490116,161.73752,0.35200179,-8.414114
131,0.038324796,-27.982548,0.11698131,161.8174,0.11500619,161.76958,0.3520146,-8.4652061
132,0.03826943,-27.898331,0.11691637,161.81374,0.11511858,161.80893,0.3519401,-8.5177412
133,0.038223196,-27.744843,0.11689211,161.8266,0.11498475,161.88954,0.35196653,-8.5824337
134,0.038143486,-27.678764,0.11684401,161.82054,0.11493076,161.83867,0.35191754,-8.6496696
135,0.038138438,-27.695044,0.11679676,161.83406,0.11491251,161.84395,0.35199174,-8.7129173
136,0.038115326,-27.668251,0.11675359,161.82645,0.11477784,161.85167,0.35209572,-8.7709999
137,0.038116369,-27.544804,0.11668839,161.81914,0.11465319,161.758,0.35213706,-8.8266973
138,0.038056456,-27.537115,0.11665419,161.82178,0.11470283,161.71597,0.35213512,-8.8887682
139,0.038069878,-27.398039,0.11664081,161.812,0.11474834,161.75003,0.3519966,-8.9492426
140,0.038057856,-27.349026,0.11657072,161.82639,0.11480736,161.75806,0.3519924,-9.0392818
141,0.037982669,-27.28545,0.11649177,161.813,0.11501471,161.75755,0.35191214,-9.1060305
142,0.038012132,-27.261408,0.11649337,161.81285,0.11483406,161.83212,0.35189235,-9.1543522
143,0.037973572,-27.180254,0.11646544,161.81516,0.11466777,161.78702,0.35187778,-9.2284718
144,0.037962236,-27.033026,0.11643365,161.80968,0.11467371,161.74371,0.35196364,-9.2997227
145,0.03792676,-27.040892,0.11637507,161.79652,0.11462564,161.7193,0.35190246,-9.359025
146,0.037867077,-27.078562,0.11638603,161.79056,0.11462252,161.80655,0.3518607,-9.4234009
147,0.037794553,-27.049059,0.11631866,161.79126,0.11432916,161.7308,0.35190722,-9.4959049
148,0.037782099,-26.919527,0.11628044,161.77092,0.11441766,161.69518,0.35188183,-9.558135
149,0.037809737,-26.847355,0.11625151,161.77675,0.11442646,161.68861,0.35203964,-9.628026
150,0.03776918,-26.861515,0.11621586,161.77228,0.11431652,161.73158,0.35205075,-9.6561918
151,0.037763473,-26.84576,0.11618721,161.75096,0.11431075,161.75153,0.35201842,-9.7306175
152,0.037731543,-26.789478,0.11617064,161.73494,0.11439304,161.73689,0.35197937,-9.8079538
153,0.037691902,-26.672396,0.11611625,161.72025,0.11421262,161.67715,0.35206079,-9.8731365
154,0.03770978,-26.671553,0.11608167,161.70801,0.11433826,161.70627,0.35193613,-9.933753
155,0.037685096,-26.634439,0.11602046,161.69577,0.11425126,161.67572,0.35189155,-9.9959612
156,0.037675399,-26.558743,0.11600332,161.68779,0.11426362,161.62273,0.35202351,-10.0611
157,0.037656277,-26.540964,0.11601007,161.67229,0.11423251,161.67809,0.35189965,-10.137783
158,0.037615459,-26.605572,0.11595406,161.66084,0.11417098,161.66995,0.35187605,-10.181413
159,0.037623037,-26.574314,0.11588518,161.6498,0.1140266,161.57413,0.35185471,-10.253703
160,0.037564866,-26.520018,0.11589076,161.62918,0.11399174,161.6295,0.35191998,-10.321938
161,0.037560325,-26.466967,0.11584181,161.5995,0.11401502,161.57713,0.35201746,-10.384517
162,0.037577327,-26.379841,0.11580085,161.59224,0.11404944,161.55252,0.35204434,-10.452286
163,0.037540026,-26.343206,0.11578035,161.58778,0.11401236,161.54524,0.35194772,-10.517785
164,0.037528329,-26.287083,0.11576851,161.55931,0.11393744,161.54224,0.35197625,-10.584632
165,0.037525676,-26.247084,0.11576582,161.54936,0.11405452,161.43823,0.352074,-10.650644
166,0.037454627,-26.23119,0.11571755,161.52953,0.11390006,161.45195,0.35206857,-10.723504
167,0.037407897,-26.260288,0.11571377,161.49619,0.11371811,161.50287,0.35202384,-10.776443
168,0.037413124,-26.190882,0.11568008,161.48157,0.11372151,161.52983,0.35193223,-10.840143
169,0.037385903,-26.17547,0.11565446,161.44281,0.1138151,161.45572,0.35187697,-10.887508
170,0.037362579,-26.171305,0.115669,161.42882,0.1138382,161.3956,0.35191309,-10.960743
171,0.037435245,-26.156912,0.1156507,161.41905,0.11374915,161.38925,0.35188112,-11.024118
172,0.037375495,-26.152349,0.1156273,161.40157,0.11373174,161.41093,0.35187507,-11.093856
173,0.037354015,-26.197031,0.11561441,161.38083,0.11373235,161.29027,0.35197708,-11.161586
174,0.037361003,-26.102358,0.11558114,161.3588,0.11375767,161.23431,0.35205951,-11.224702
175,0.037303321,-26.073217,0.11554272,161.33195,0.11377966,161.19981,0.35203686,-11.307022
176,0.037309811,-26.06082,0.11552076,161.30663,0.11368988,161.21513,0.35195354,-11.37351
177,0.03731912,-26.053865,0.11547329,161.28482,0.11364296,161.21632,0.35192183,-11.427986
178,0.037285723,-26.005276,0.11546246,161.25853,0.11354225,161.23581,0.35186589,-11.48652
179,0.037289608,-25.939795,0.11542089,161.23236,0.11355735,161.19691,0.35183424,-11.546512
180,0.037278023,-25.915098,0.11541811,161.19713,0.11356312,161.11137,0.35182512,-11.608767
