# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-two
# Plot type:     Coherence
# Output Format: XY  
# Channels:            A                        B                Conversion
# Column 1   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_TWO_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
0.1          0.29614988   0.94909471   0.0091604684 0.34511828  
1.1          0.031407714  0.99157375   0.090477318  0.045512296 
2.0999999    0.035875406  0.99277258   0.14427583   0.029118992 
3.0999999    0.16882917   0.99168783   0.09901619   0.032643858 
4.0999999    0.37401614   0.99666739   0.0043264087 0.25609761  
5.0999999    0.078118175  0.99767053   0.0013061722 0.027582321 
6.0999999    0.0050635869 0.99414355   0.053173788  0.21231444  
7.0999999    0.22556184   0.99290997   0.017390529  0.13587241  
8.1000004    0.026589401  0.99857575   0.053053606  0.1328622   
9.1000004    0.070878193  0.99889225   0.25838628   0.084051207 
10.1         0.050241616  0.99606198   0.34689271   0.036879871 
11.1         0.25407323   0.99798584   0.30459902   0.035334732 
12.1         0.0014111381 0.99809617   0.1174677    0.091526754 
13.1         0.06150534   0.99833548   0.056133911  0.0071051214
14.1         0.048608948  0.99713796   0.03070955   0.03737586  
15.1         0.0075554661 0.99861896   0.10992742   0.016674602 
16.1         0.0020387026 0.99879247   0.22885405   0.17553207  
17.1         0.29767281   0.99857938   0.28196326   0.11547761  
18.1         0.11709114   0.99893028   0.11802176   0.26380718  
19.1         0.16080987   0.99839967   0.047687631  0.082396939 
20.1         0.11244198   0.99966842   0.26433089   0.047417283 
21.1         0.041706532  0.99935359   0.082137398  0.072788455 
22.1         0.010906011  0.99904698   0.14269675   0.049005434 
23.1         0.15812935   0.99973017   0.079500981  0.052072503 
24.1         0.12388869   0.99977946   0.015486033  0.043636493 
25.1         0.12074817   0.99964345   0.08729127   0.022323238 
26.1         0.16842374   0.99949926   0.024143871  0.031253669 
27.1         0.16981773   0.9990859    0.018074367  0.011447544 
28.1         0.071791485  0.99963319   0.18263517   0.10503138  
29.1         0.07669422   0.99968785   0.16834624   0.31694287  
30.1         0.090126783  0.99980044   0.12473215   0.142159    
31.1         0.25639132   0.99979365   0.19545133   0.017937217 
32.099998    0.01996907   0.99947858   0.19295689   0.020390712 
33.099998    0.29472968   0.99979633   0.028259357  0.053101722 
34.099998    0.069758758  0.99966097   0.12315991   0.17715746  
35.099998    0.099320583  0.99981779   0.00098703045 0.037598208 
36.099998    0.082945257  0.99984324   0.072508678  0.055421714 
37.099998    0.024960632  0.99979591   0.072167464  0.20613578  
38.099998    0.069640204  0.999816     0.05080086   0.086363442 
39.099998    0.26889512   0.99983668   0.48853898   0.096872889 
40.099998    0.16561656   0.99986982   0.249881     0.075065769 
41.099998    0.037888058  0.99981809   0.096717156  0.014534691 
42.099998    0.26537469   0.99992865   0.2186594    0.094378732 
43.099998    0.0025048968 0.99988776   0.091182351  0.15865786  
44.099998    0.080596052  0.99986124   0.019079601  0.14680758  
45.099998    0.013418216  0.99992287   0.096599579  0.049305439 
46.099998    0.13558751   0.99989122   0.092485026  0.028481442 
47.099998    0.13865939   0.99987268   0.08158379   0.015243895 
48.099998    0.0068605719 0.99997121   0.0058061187 0.033358324 
49.099998    0.19432117   0.99985486   0.087580629  0.032636888 
50.099998    0.048372779  0.99996316   0.10380533   0.41924432  
51.099998    0.080827907  0.99997252   0.055262599  0.18072748  
52.099998    0.21046247   0.99990726   0.025191773  0.098348603 
53.099998    0.12442449   0.99980181   0.052510638  0.070183873 
54.099998    0.09139879   0.99996352   0.046213403  0.05661121  
55.099998    0.16508293   0.99993008   0.066824876  0.0099516166
56.099998    0.042773414  0.99996072   0.066495523  0.02767517  
57.099998    0.078091331  0.99994802   0.21698184   0.05921682  
58.099998    0.063027546  0.9999463    0.20063642   0.087656371 
59.099998    0.086263992  0.99995321   0.074789748  0.041231718 
60.099998    0.036818281  0.99996012   0.096432924  0.069694228 
61.099998    0.14196695   0.99995434   0.17644346   0.35403144  
62.099998    0.02901198   0.99998468   0.24320011   0.29023391  
63.099998    0.051709075  0.99998283   0.0040899063 0.056973662 
64.099998    0.091944404  0.99996662   0.05689048   0.036873236 
65.099998    0.038254242  0.99997669   0.10772689   0.077437483 
66.099998    0.0037237681 0.99996269   0.037089311  0.10092603  
67.099998    0.06316825   0.99994266   0.098996811  0.02956683  
68.099998    0.052996486  0.99996632   0.014759345  0.12700821  
69.099998    0.030369215  0.99996859   0.032215282  0.079078145 
70.099998    0.058739506  0.99997616   0.014524277  0.047354665 
71.099998    0.43007839   0.99997795   0.088991158  0.19983181  
72.099998    0.11851725   0.99997741   0.10856619   0.041781794 
73.099998    0.16750884   0.99997443   0.024556031  0.017910235 
74.099998    0.042506173  0.99997747   0.20291376   0.14258891  
75.099998    0.0049937312 0.99998152   0.12657301   0.03183528  
76.099998    0.038537081  0.99997956   0.031827927  0.20548686  
77.099998    0.091102682  0.99997312   0.087646782  0.13759072  
78.099998    0.0070132636 0.99997568   0.096986651  0.096586041 
79.099998    0.047955226  0.99993634   0.034645565  0.37575114  
80.099998    0.16410175   0.9999665    0.0058564977 0.11960037  
81.099998    0.032155491  0.9999724    0.18972209   0.012263513 
82.099998    0.1082171    0.99997681   0.15851238   0.19077286  
83.099998    0.44227335   0.99997938   0.063123934  0.10767266  
84.099998    0.22804545   0.99996638   0.081835277  0.13387971  
85.099998    0.031239945  0.99995577   0.01265569   0.0033406371
86.099998    0.010061824  0.99997818   0.35142934   0.039609361 
87.099998    0.016098456  0.99997419   0.20872051   0.054456212 
88.099998    0.010886633  0.99998826   0.0051307632 0.073382564 
89.099998    0.053367663  0.99997538   0.10577731   0.048718635 
90.099998    0.043212753  0.99996912   0.11953234   0.021288387 
91.099998    0.019640762  0.9999879    0.1331159    0.15605485  
92.099998    0.088445969  0.99999273   0.0088511435 0.17017074  
93.099998    0.14138831   0.99998671   0.21089463   0.036231551 
94.099998    0.0092130797 0.99998581   0.21975072   0.038171746 
95.099998    0.2276036    0.99997866   0.16145447   0.16341099  
96.099998    0.26835147   0.99998856   0.02202333   0.1208068   
97.099998    0.05414734   0.99996608   0.10094847   0.018121708 
98.099998    0.14815482   0.99997914   0.018805088  0.11616679  
99.099998    0.0066324477 0.99997592   0.069208652  0.055485696 
100.1        0.030306261  0.99998528   0.25563896   0.090243898 
101.1        0.070928641  0.99998087   0.33456403   0.18025568  
102.1        0.025530312  0.99998462   0.23692876   0.094808243 
